ジャイアン＆スネ夫,のーびー太ーくん
キョン,ん？という事はあれか？俺達はもうあいつらには会えないのか？
古泉,彼らは全く別の次元の住人ですからね。こちらの世界の東京都内をいくら探しても彼らは何処にもいません
キョン,そりゃ残念だな。いろいろ世話になったし、その内お礼でもしに行こうと思ったんだが･･･
古泉,涼宮さんが再び望めば、また会える日が来るかもしれませんね
キョン,だとすると、そう遠くはなさそうだな
古泉,ですね
キョン,待てよ･･･別の次元の地球から来たっていうなら、何でドラえもんはハルヒが3年前に起こした時間振動の事を知っていたんだ？
古泉,恐らく、あの時間振動はドラえもんさんのいた未来の地球でも観測されたのでしょう。それほどまでに大きなものだったということでしょうね
キョン,何て女だ･･･
古泉,その可能性を考え、あの時朝比奈さんはドラえもんさんにその事をたずねてみたのでしょうね。我々の話を信用させる為に
キョン,なるほどな、朝比奈さんも意外と頭が回るもんだ
古泉,ドラえもんさんのいる未来であの時間振動の正体が解析出来ないのは当然の事と言えます何故なら、全く別の次元の地球で起こった出来事なのですからね。解析しようがありません
キョン,しかしあいつの物足りなさの原因が、まさか俺達の宿題とはな
古泉,涼宮さんは文武とも優秀な方です。それは幼い頃からそうだったのでしょう。ですから彼女は夏休みの宿題などが負担だとは全く思わなかったのですよ。ましてや友人と共に分担作業をするものでもなかったのです。涼宮さんはそんな事をするまでもなく、一人で簡単に片付けられる能力があるわけですから
キョン,嘘だったみたいな気がする。15000回以上もあの船に乗っていたなんて
古泉,そう感じるのも無理はありませんね。15497回、それだけのシークエンスにいた僕たちと、今の僕達は記憶を共有していません。15498回目の記憶を引き継いだ15499回目の僕達だけが、正しい時間流に再び立ち戻る事ができたわけですから
キョン,全く実感はないが、肉体的には212年ぶりの登校だったんだよな。今日は
古泉,そういう事ですね。考えるとぞっとします
キョン,はぁ～
古泉,ポーカーでもしましょうか？
キョン,パスだ。ツキの月を飲んでるわけでもないしな、暫くポーカーは遠慮する。それに、どうせもうすぐ団長様がお見えになるだろうよ
ハルヒ,やっほー！！！みんな揃ってるー？
キョン,噂をすればだ･･･。新学期早々えらくテンションが高いな。超人選手権で優勝して十分アピールは出来ただろ。暫く休もうぜ
ハルヒ,なに甘ったれた事言ってるのよ！！SOS団の存在を世界中に知らしめるまでは休んでなんかいられないわ！キョン、アンタは馬車馬の如く働きなさい！！
キョン,はぁ～。で、今度は何をやらかそうってんだ？
ハルヒ,そうね、まずは体育祭！これで絶対に優勝するの！それが終わったら次は文化祭ね！
キョン,文化祭？何するつもりだ？
ハルヒ,この間の賞金を使って映画を撮るわよ！！主演はみくるちゃん！！監督は勿論あたし！！
キョン,映画だと･･･
ハルヒ,分かったでしょ？休んでなんかいられないの！！早速体育祭に向けて打ち合わせをするわよ！！ちょっと、聞いてるのキョン！？
キョン,助けてくれ･････ドラえもん
ドラえもん,エンドレスエイト！？
