戦士♂,そうだ。お前はひのきのぼうだ
戦士,何とかして越えられないのか？
賢者,ほぼ不可能でしょう。強敵ぞろいの魔物たちを突破した先には、想像を絶する急斜面――。さらに今もなお、その周辺では毒が溢れ出ているときています。近付くことすら危険なのです。一説には、魔王軍が大陸を侵略するために作り出した、橋渡し代わりの陸地だとか……
勇者,そ、そんな……！
戦士,……仮にそうだとして、奴らはなぜ南に橋渡しを？大陸の拠点は北の城だろう
商人,ううむ……恐ろしい話ですが……まさか奴ら……
賢者,そうです。この大陸全ての人間の、退路を断つつもりかもしれません。ご存知のように、この南の港町は大陸の最南端にあるため、南側に海を臨みます。あ、一応断っておきますが、港町だからといって。ドーナツ型の大陸の、穴に当たる部分の海は関係ないですよ。距離も離れていますし
勇者,さすがに分かるよ。◎←の小さい方の○の部分に、航路はないんだよね。魔王城も邪魔してるし
戦士,それで？
賢者,ええ、そうしてこの大陸には、どこを探しても港はここしかありません。つまり大陸の人間が安全に異国に向かうとするなら、ここの船を使わざるを得ないのです。ところがもし、魔王軍が押し寄せて来て、この港町が崩落してしまったら
勇者,……残った人たちは、みんなこの大陸から出られなくなっちゃう……
商人,同時に、異国との交易で得ていた物資の供給もなくなりますな
賢者,そうです。本命の退路を絶ったところで、大陸の拠点たる北の城を一気に制圧する。あとは東西に残った町村を攻め入れば、大陸の人間を根絶やしにできるでしょうね
勇者,……そんな……
戦士,ううむ……事態は極めて深刻だったようだな……
勇者,……うん。でも、不安がっても何も始まらないよ
戦士,む
勇者,ねえ賢者さん、今の話だって、証拠は何もない憶測なんでしょ？
賢者,え、ええ、そうですが
勇者,ちなみに商人さん、この陸続きが見つかったのっていつの話？
商人,ほんの一、二年前ぐらいですかな
勇者,だったらもう結構経ってるし、てことは、まだすぐには攻めてこないんじゃないかな
戦士,分からんぞ。明日来るかもしれん。あるいは今夜かも
勇者,そんなこと言い出したら、火山の噴火に怯えるのと変わんないじゃん。とにかく、気持ちだけ急いだって解決はしないよ。ボクらはボクらのペースで旅を続けよう
賢者,……ええ、仰るとおりですね
商人,ううむ。まぁ、そこに落ち着きますかな
戦士,ふん、無責任なことだ。だが確かに、急いたところですぐに事態は変わる訳でもなし。今夜はもう、明日に備えて眠るとしよう。構わんな？
勇者,うん、今日はもう解散！寝る人はおやすみ！以上！
商人,いやぁ、それにしても賢者殿を仲間にして正解でしたなあ
賢者,はい？何がでしょう？
商人,先刻の、魔王の意図を看破する鋭い洞察力は、まさに研ぎ澄まされた刃そのもの！。木を削っただけのひのきのぼうとは、比べ物になりませんて！
戦士,分かっているとは思うが商人、勇者の前でぼうの話は控えるのだぞ。あの娘はまだパーティーの変化に慣れていない。余計なことを思い起こさせるな
商人,分かっておりますとも
賢者,ひのきのぼう……あの僧侶のことですか？
戦士,うむ。賢者も多少は記憶に残っているだろう、あの愚鈍な少年のことだ
賢者,前々から気になってはいたのですが、あの僧侶と勇者様は、どのような関係なのですか？
戦士,何のことはない、ただの幼馴染つながりだ。もっとも……
戦死,二人とも孤児だがな
賢者,孤児？
商人,いやあ聞くところによると、あそこの教会の処分には手を焼いたらしいですぞ
賢者,教会？
商人,そうです。ワシもそのとき居合わせたわけじゃないんですがね。当時の城下町は建築の最盛期でしてな。建て物の取り壊しと再建が流行っておりまして。その折で、みなしごを集めて孤児院代わりにしていた教会が、どうしても邪魔になりましてな
賢者,その孤児の中に勇者様と、例の僧侶がいたと
戦士,まぁ勇者だと分かったのは後の話だがな
商人,で、なんでも再三の立ち退き勧告を、老いた神父が頑固に突っぱねたらしくて。周囲が頭を悩ませていたある日、その神父の方から孤児ともども出て行ったんです
賢者,なんと。孤児たちは？
商人,城下町の外れの林に、安普請の小屋があります。そこに全員移り住んだようです。ちょうど空き物件があったのを、神父がなけなしの財産をはたいて買い取ったんですわ
賢者,なるほど、第二の孤児院といったところですか
商人,それからひと月ほどと聞いてますが、その神父の爺さん、おっ死んでしまいましてな
賢者,なんと。保護する者がいなくなった孤児たちは、どうなってしまったのですか
戦士,……ある者は養子に迎えられ、ある者は町を出、ある者は己を鍛え……戦士になったのだ
賢者,戦士に？まさか……戦士殿は、その孤児院の出身ということですか
商人,な、なんと。ワシも初耳ですぞ
戦士,俺が一番年の離れた年長だったからな。小屋を出るのも一番早かった。勇者も僧侶も幼かったゆえ、このことは知らんだろう
商人,も、申し訳ございませぬ。先の話の中で、いくばくか失言があったやも……
