デクシオ,“こちらデクシオ。この場所にあると思われるジガルデ・セル、回収できましたか？”
サトシ,ええ～！？言ったよ。間違いなく言った。ピカチュウも聞いたろ？
ピカチュウ,ぴかちゅう～
ｱﾆﾎﾟｹﾘｰﾘｴ,…………………………。…………ふふっ、……じゃあ、きっと…何か…言ったんですね……、わたくし………
サトシ,………？ひょっとして…何か、思い出した？リーリエ？
ｱﾆﾎﾟｹﾘｰﾘｴ,…………………………。…いいえ、全然。さっぱりです。…………………………。………………でも…。………ねぇ、サトシ……？
サトシ,………ああ
ｱﾆﾎﾟｹﾘｰﾘｴ,その誰かと…わたくしたちは…必ずいつかまた逢えますよね…？
サトシ,………そんなの…、。………………………逢えるに決まってんじゃん！リーリエ！！
ピカチュウ,ぴっかっちゅう！
ｱﾆﾎﾟｹﾘｰﾘｴ,・・・・・・はい！
グラジオ,………………急に何しに来たかと思えば……、。………行方不明事件の詫びを直接入れるためか。律儀な奴だ……
ヨウ,本当に迷惑かけちゃったから。やっぱり直に会って謝りたかった。…急に押しかけちゃってごめん。おいおい……。……でも…、本当に有り難かったし、嬉しかった……。……………………わかった。受けて立つ……
グラジオ,……………。
ヨウ,……………。
ロトム図鑑,………………。
配達員の声,ハンコかサインお願いしまーす！！！
グラジオ,………………。
ヨウ,……………。
グラジオ,……………ち…。……すこし外すぞ、くつろいでろ…！
ヨウ,あ…、う、うん…。……………
ほしぐもちゃんの入ったボール,………！！
ヨウ,………？…どうした、ほしぐもちゃん？
ほしぐもちゃんの入ったボール,…！
ヨウ,……………
ほしぐもちゃんの入ったボール,～～♪♪
ヨウ,…ふふ
グラジオ,……
ヨウ,…。おかえり
グラジオ,…
ヨウ,わ！な、何？
グラジオ,…………。その荷物…お前宛だ
ヨウ,………え？僕宛ての荷物？…？、どういうこと…？。……しかも時間指定便…。……差出人は……、……………書いてない…
グラジオ,……送り主に心当たりは…？
ヨウ,………………………。……ごめん…。全然思い浮かばない…
グラジオ,別にお前が下らない悪ふざけをするとは思ってない。だが、そうなると随分と奇妙だな
ロトム図鑑,……さしずめ、”ふしぎなおくりもの”ってところだロトね…
ヨウ,……………………。
グラジオ,とりあえず開けてみろよ
ヨウ,あ、うん。…………。…………モンスターボールが一個…？中身入りだ
ロトム,何が入ってるロト？
ヨウ,…………
ヨウ達,…………！！
謎のピカチュウ,ぴかちゅう
ヨウ,ピカチュウ？
グラジオ,…ピカチュウ？
ロトム図鑑,ピカチュウだロ？
謎のピカチュウ,ぴかちゅー
ヨウ,…………………
ロトム図鑑,ヨ…、ヨウ、この…ピカチュウは……？
ヨウ,…………………
謎のピカチュウ,ぴーか？
ヨウ,…………………
グラジオ,……おい、この荷物…。ボールの他にも何か入ってるぞ……
ヨウ,……………………え…？
グラジオ,…、………見たことないZクリスタルと……、それから…、。……………………赤い、帽子だ……
ヨウ,…………………！…
グラジオ,…？…何かわかったか？
――――ジリリリリリリリリリリリ…！！,電話の音
全員,！！？
グラジオ,………………。…ただの外線電話だ。…………。……いや、この測ったようなタイミング…………、。…………案…外…、…この荷物を送ってきたヤツから…、だったりしてな…
ヨウ,…………………。…………
謎のピカチュウ,ぴかーちゅ？
ヨウ,…………………。……………おいで？…………この帽子、被せてあげる
謎のピカチュウ,……ぴっか！
ヨウ,…………………。……………はい。……………うん、似合うね…
ｻﾄｼｷｬｯﾌﾟﾋﾟｶﾁｭｳ,ぴっかちゅう！
ヨウ,………………。……！…
ｻﾄｼｷｬｯﾌﾟﾋﾟｶﾁｭｳ,……ぴ？
ヨウ,……意外と…早くまた逢えたね…っ、……って言うのは、…キミに対して失礼かな…？
ｻﾄｼｷｬｯﾌﾟﾋﾟｶﾁｭｳ,…ぴっかちゅう～！
ヨウ,ふふっ…！
グラジオ,……
ヨウ,…。おかえり
グラジオ,……
ヨウ,わ！な、何？
グラジオ,…出ろ
ヨウ,え…？！あ、うん…
ロトム図鑑,…ま、まさか…っ！ほ、本当に…送り主だったからロトか…！？
グラジオ,いや？全然違った
ロトム図鑑,………ロト？
ｻﾄｼｷｬｯﾌﾟﾋﾟｶﾁｭｳ,ぴっかっちゅう！
ｱﾆﾎﾟｹﾘｰﾘｴ,……………
サトシ,…そろそろ戻ろうぜ、リーリエ。授業始まっちゃうよ？
ピカチュウ,ぴっかー
サトシ,…ん！？
？？？,……そ…、んな…
サトシ,…。……えーと誰だ、あの子？
ピカチュウ,ぴぃかぁ？
ｱﾆﾎﾟｹﾘｰﾘｴ,…こっちを見てますね？……というか…、わたくしを…見てる…？
？？？,…う、うそだよ…？えっ？なんで？……アローラ、に…？
ｱﾆﾎﾟｹﾘｰﾘｴ,…？
ミヅキ,リーリエ・・・！？
ｱﾆﾎﾟｹﾘｰﾘｴ,・・・どなた様でしょうか？
