理事長,音ノ木坂を廃校にします
花陽,違うの凛ちゃん！綺麗なヒットも、ボテボテの内野安打も同じ価値なのが野球の一番いいところなんだよ！だから今の凛ちゃんのバッティングは、最高だったんだよ！
絵里,その通り。ハラショーなバッティングよ、凛
希,女子野球でそのレベルの脚で走り回られたら、対応できるチームは少ないんやないかな。ウチも最高のバッティングやったと思うよ、凛ちゃん
花陽,あっ、野球力も一気に210まで上昇してる…！凛ちゃんっすごいよぉ！
凛,え、えへへ…あんまり褒められると凛、照れちゃうよ…
穂乃果,よかったよかった。凛ちゃんの表情から硬さがなくなったね
ことり,うん、打席ですごい力んでたもんね。綺麗なヒットとかホームランを打たなきゃと思いすぎてたんだね
海未,ふふ、花陽は凛の事をよく見ているんですね…私たちが何を言うよりよっぽど効果的でした
凛,よーし！絵里先輩もう一打席お願いしますにゃ！！
絵里,その闘志ハラショーよ！次は打たせないわ！
花陽,よかったね凛ちゃん…！。……私も…
穂乃果,ふふふ、そろそろ花陽ちゃんも、混ざりたいんじゃないかな？
にこ,はい、メダル10枚で2700円でーす！お釣りのお渡しが300円ですっ！ヘルメットはちゃんと着けてくださいね～、にこっ！
店長,矢澤さん矢澤さん、そろそろ時間だから上がっていいよ
にこ,あ、はーい！……ふう、疲れた。さーて、更衣室でブログの更新でも…って、140キロのケージに女の子？しかも音ノ木坂の制服？野球部の子かしら…ちょっと見てみようかな…
真姫,……ブツブツ。………ブツブツ。ブツブツ……
にこ,ええ…なによあれ…？バットを持って打席に棒立ち…ずっとボールを見てるだけ…？しかもなんかブツブツ言ってるし…危ない子？
真姫,……
にこ,あ、またメダル入れた…で、また見てるだけ…？ウッソ、あれバラ買いだと300円よ？10枚買いだと1枚分は値引きされるけど…とりあえず、もったいない…
真姫,……！ちょっと、あなた誰？ジロジロ見ないで！
にこ,あっごめ……だ、だって気になるじゃない！どう見たってもったいないわよそれ！
真姫,関係ないでしょー？あのね、私は西木野真姫。天才よ。こうやって日々球筋を見極める事で理想の打撃を追い求めてるの。ま、説明したところでどうせ理解できないでしょうけど
にこ,いやいや理解できるわけないでしょ！…ええと、真姫ちゃん？今のアンタはハタから見るとちょっと危ない子よ？
真姫,う゛ぇえ！？なによ危ない子ってイミワカンナイ！えっと…
にこ,私はにこ、矢澤にこよ。にこも野球好きだから言わせて貰うけどね、振らずに理想の打撃に到達できるわけないでしょ！頭の中でどんなに考えたって再現できなきゃ無意味よ
真姫,にこ、にこちゃんね。そんなの私の勝手でしょ？
にこ,ねえ、三年なんだけど
真姫,え…一年じゃ？そういえばうちのクラスでは見ない顔……べ、別にいいでしょにこちゃんで。見た目的に幼いし。と、とにかく私は大丈夫なの！
にこ,あーもう、いいからちょっと振りなさいよ！ブンッて！完成してなくていいから現段階の理想の打撃見せてほしいなー！天才の打撃見てみたいなー！
真姫,ちょ、ちょっとにこちゃん！？ケージにハイッテコナイデ！マナー違反！
にこ,にこは店員だからいいの。ほらボール来るわよ！あっ、真姫ちゃんってばもしかして、バットも振れないぐらい非力なわけ？
真姫,なっ、そんなわけないでしょ！振れるわよバットぐらい…見てなさい…！
にこ,…ん？
真姫,い、今のはなしよ。自分のタイミングじゃなかったから
にこ,う、うん
真姫,えいっ！。ちっ、惜しかったわね…やあっ！
にこ,こ、これは…。運動音痴だ…！ネタにするのが申し訳ないくらいの…！
真姫,……。…………運動音痴じゃないから
にこ,あ、うん…
真姫,…こう見えてもね、ダンスとかはできるの！球技、球技が苦手なだけなの！だからその気まずそうな顔とノーコメントはやめなさいよ！
にこ,う、うん…理想の打撃探し、頑張って欲しいにこー。じゃっ、私はこれで
真姫,うぁぁバカにしないで！あーもう！だからスイングしたくなかったのよ！ヘタクソが野球好きじゃダメなの？私だって野球したい！だけど出来ない！自分でビックリするくらいセンスがないんだもの！私は天才なはずなのに！もうやだ！うう…っ！
にこ,え？！ちょ、真姫ちゃん…泣かないでよ…！他のお客さん見てるから、立ってほら、にっこにっこにー！ね？笑って笑って！にこっ！
真姫,なによそれ…グスッ、キモチワルイ…
にこ,くっ…慰めてやってるのに、この一年は……ほら、とりあえずケージ出るわよ！外で人待ってるから！すっ、すみませーん、お待たせしちゃってぇ…
？？？,おや、まだボールが出ているようだが。次の私がケージに入ってしまってもいいのか？
にこ,あ、はい！どうぞどうぞ！ちょっとボール散らばってますけど、それでも良ければ残りの球も打っちゃっていいですから
真姫,……ぐすっ
？？？,ふむ、それでは遠慮なく打たせてもらうとしようか
真姫,な、なに？この音…
にこ,ホームランパネルに当たった音よ。今の人かしら
真姫,な、なによあの人…連続でホームランパネルに当ててる……まるで、ロボットみたいに…
にこ,……ああっ！…焦ってて気付かなかったけど、あれは！UTX高校の五番キャッチャー精密機械統堂英玲奈じゃない！！すごい！にこファンなのよ！！
英玲奈,……よし、順に打とう
真姫,三遊間！
にこ,一二塁間！
真姫,センター返し！
にこ,左中間！
真姫,右中間！
にこ,センターオーバー！
真姫,す、凄い…間違いなくヒットコースごとに狙って打ち分けてる。140キロを…
にこ,これが女子高校野球の最高峰、UTX高校の主軸…！あの機械みたいな眼光…噂通り…かっこいい！！
英玲奈,よし、今日はこんなところだろうか
真姫,あ、出てくるわよ
英玲奈,おかげで少し余分に打つことが出来た。感謝する
真姫,なんか機械っぽいのよね。試合中ピンチになったらバカな！データにないぞ！とか言っちゃうんでしょ、どうせ
にこ,あ、いえ！あのー…矢澤にこって言います！ファンです！握手してください！あと良かったらサインも…
英玲奈,おや、嬉しいな。応援してくれてありがとう
にこ,う、うわぁ直筆サイン…！家宝にしますぅ！
