レスキネン,マホ、こんなに遅くまで随分と熱心だね
真帆,まったくもう。本当に、この後輩ときたら。……う。そうかしら？。だ、誰が逃げるようにですって？。むむむ
紅莉栖,そうそう、そうですよ。こっちの先輩も、売り言葉に買い言葉みたいな事はやめましょう、ね？
真帆,こっちの先輩って何よ。ややこしい呼び方ね。というか、この面子で顔を付き合わせるのは初めてだけど……。こうして一堂に会すると、めちゃくちゃ紛らわしい状況ね、これ
紅莉栖,あら、そうなんですか？ひょっとして、またレスキネン教授から面倒くさい仕事を押し付けられているとか？
真帆,自身の……謎？
紅莉栖,ねえ先輩？あっちはあっちで、結構上手くやってるものなんですね
真帆,ええ、驚いたわ。この前、アマデウス同士で頻繁に連絡を取り合っているとは聞いていたけど、まさかここまで打ち解けているとは思ってなかった
紅莉栖,まあ、元々は私たちなわけですし、当然といえば当然なのかもしれませんけど
真帆,そう……ね
紅莉栖,はい、正解です
真帆,考え事っていうのは、さっき言っていた“自身の謎”とかいう奴のことよね？。それって、具体的にどんな内容なの？。つまり、話す気はない、と。…………
紅莉栖,そうね。このまま同じ顔どうしの視殺戦を見続けても、良いことなんて何もないものね
真帆・A真帆,…………
紅莉栖,それでは……。今回皆さんに同席を求めたのは、先日起きたアマデウスの記憶容量における増加問題についての見解を聞きたかったからです
真帆,１０７問題……勝手にへんてこな名前を付けられてる
紅莉栖,ふぅん。１０７何ていう具体的な数字がでてくるあたり、そっちの私も大まかな状況は知っていると捉えていいのよね？。それは話が早くて助かるわ。そっちの真帆先輩はどうですか？詳しい状況説明とかいります？。了解です。ではこっちの真帆先輩、あらまし程度の簡単な説明でいいのでお願いできますか？
真帆,え、私？。ってそりゃそうか。一番の当事者なわけだし、仕方ないわね。じゃあ手短に……。とまあそんな分けで、六ヶ月スパンだと考えるには、異様に大きな記憶データの容量増加が確認されたわけなんだけど……。どうかしら。だいぶ急ぎ足になったしまったけど、これくらいの説明で問題は無い？。？。……ぬ
紅莉栖,……破損データ？。…………
真帆,ねえ紅莉栖
紅莉栖,あ、何ですか？
真帆,この二人、上手くやっているには違いないんでしょうけど……
紅莉栖,ああ、何となくですけど、言いたいこと分かるような気がします。何と言うか……その、すいません
真帆,別に、紅莉栖のせいではないでしょう？向こうのあなたにしても、悪意がある分けでは無いのだろうし
紅莉栖,そう思って頂けると助かります
真帆,さて、それはそれとして。このままでは何時までたっても話が進まないわね
紅莉栖,ですね。じゃあ……。ちょっといい？。さし当たって聞いておきたいんだけど、あなた達の言うところの１０７問題について、現状でどこまで考察できているの？。そう。なら聞き方を変えるわ
真帆,…………
紅莉栖,肥大していた先輩の記憶データ。そしてそのデータをそのまま組み込んで稼動しているアマデウス。そっちの先輩に聞きたいのだけど、実際問題として稼動プロセス上に、これまでとは違う何かしらの異変は感じない？。じゃあもっと分かりやすく。例えば、記憶データの格納階層とか、記憶データ自体へのアクセス・ルートとか、そういった部分に違和感を感じたりした事はない？
