このスレは,とある魔術の禁書目録
吹寄,あの二人見てると私も彼氏が欲しくなるわね
姫神,お幸せに。上条君
土結,
土御門,いつもすまないにゃー。オイ！アレイスター！こんな時に呼びだしやがって、何の用だ？
アレイスター,大事な程ではないが、幻想殺しと心理掌握についてだ
土御門,上条当麻と食蜂操祈がどうした？まさか！？二人を別れさせようとふざけた用件ではあるまいな？
アレイスター,それは違う。その二人が恋仲になったからと言ってプランに支障が出る訳ではないからな
土御門,だったら何だ？
アレイスター,今の所、魔術サイドから大きな動きはない。だからと言っていつ幻想殺しを狙いに学園都市に来るか分かったもんではない。今後は私のプランのために幻想殺しとその恋人の心理掌握の安全を守るが君の使命だ、土御門元春
土御門,......アレイスター
アレイスター,なんだね
土御門,これだけは言っとく、俺はお前のプランのためにやるんじゃない！大切な友人のためにやるんだ！よく覚えときな
アレイスター,......
土御門,それに、お前に言われなくてもこの任務はやるつもりでいるさ
食蜂,当麻さん、来月はバレンタインだねぇ
上条,もう、その話題出すのか？
食蜂,女の子はねぇ、イベント事に敏感力があるのぉ
上条,言われてみればそうだな。でも、常盤台って女子校だろう？男にあげる人って居んの？
食蜂,ないわぁ。大体友チョコが多いものぉ
上条,だろうな
食蜂,でも、今回は私含め取り巻きの子達が当麻さんのためにチョコを作ってくれるっさぁ
上条,マジっすか？
食蜂,私はとびっきりのチョコレートを作るからねぇ、ダーリン☆
上条,期待して待ってるよ、ハニー
食蜂,えへへ、あっ！あそこにクレープ売ってるぅ。買って行こ
上条,ちょっと！上条さんを置いてかないでくれ
食蜂,そこのベンチで食べましょう
上条,あいよ
食蜂,さーて、お味はどうかなぁ？。うん！美味しい。なかなかの甘味力だわぁ
上条,だな。たまに食べるクレープっていいもんだよ
食蜂,スキありぃ！
上条,あっ！上条さんのクレープを...
食蜂,えへへ、間接キスGET！
上条,お前って奴は...///
食蜂,スキを見せる当麻さんが悪いんだゾ☆
上条,やってくれたな...あっ！クリーム付いてるじゃねーか。取ってやるよ
食蜂,ふぇ？
上条,はむ！
食蜂,あっ......///
上条,フフーン、いつかの仕返しだ！
食蜂,もー
上条,上条さんもやられてばかりはいかないです事よ
食蜂,ムー当麻さんのクセに生意気なんだゾ☆
上条,そう怒るなって
食蜂,ん...もっと優しく撫でてぇ
上条,はいはい
食蜂,うむ！それでよろしい
上条,なんか、俺達ってかなりイチャついてるよな？
食蜂,当然！もっとイチャイチャしよ？
上条,そういうのは人がいない所でな、さすがにここは恥ずかしい過ぎる
食蜂,じゃあ、どっか二人っきりになれる所行こうよぉ
上条,み、操祈さん！？なんちゅう声出してるの？///
食蜂,ねぇ、行こ？
上条,ちょ！？
食蜂,もっと当麻さんが欲しいのぉ、当麻さんからあふれ出てる蜜をたっぷり頂きたいのぉ
上条,操祈！？なんか変なスイッチ入っとない
食蜂,そうさせたのは当麻さんじゃなぁい。ねぇ、ホテルにでも行こ
縦ロール,はい、そこまでですよ。女王！
上条,縦ロール？
食蜂,ちっ...
縦ロール,まったく...女王とあろう方が何をなさるつもりだったんですか？。それと王子、明けましておめでとうございます
上条,おう！明けおめ
縦ロール,女王、ダメですよ！こんな白昼堂々と
食蜂,むーデート中に邪魔するんじゃないんだゾ☆
縦ロール,それに関しては謝ります。ですが、今のような場面は見過ごす訳には行きません！いいですか女王、貴方は超能力者として自覚を
食蜂,はいストップ。寮に帰りなさい
縦ロール,わかりました
上条,何もそこまでする事ないのに...
食蜂,ムード力を壊した罰よぉ。コタツ暖かいねぇ
上条,そうだなー
スフィンクス,にゃん
食蜂,スフィンクスちゃんも気持ちよさそうねぇ
上条,みかん食べる？
食蜂,食べるぅ！
上条,はい、どうぞ
食蜂,手出したくないから食べさせてよぉ
上条,我儘な操祈たんですねー。はいアーン
食蜂,アーン
上条,美味いか？
食蜂,最高だわぁ
上条,だろう？コタツに入って食べるみかんは一味違うんだぜ
食蜂,これがコタツから発する魔力なのねぇ。恐るべし！コタツ
上条,日本人で良かったですなー
禁書,ただいま
上条,
食蜂,
禁書,あれ？とうま、みさき寝てるの？コタツで寝たら風邪引くのに...。でも、手を繋いで寝てる辺りがお似合いなんだよ。起こすのも悪いからご飯までもう少し我慢しよう
青ピ,誰でもいいから僕にチョコ分けてくれへんかな？
土御門,俺は舞夏から貰えればそれでいいにゃー
青ピ,いいなつっちーは可愛い義妹が居て
土御門,カミやんは心理掌握ちゃんから貰ったかにゃー？
上条,まだだよ。まぁ、放課後には会う予定だからその時に貰えると思うな
青ピ,常盤台の子やからやっぱ高級なチョコでの手作りやろうなー
上条,操祈から貰えるならなんでもいいさ
土御門,どんなのもらったか聞かせてもらうぜよ
美琴,あっ！アンタ、ちょっと待ちなさい！
上条,ん？御坂か、悪いが上条さんは急いでるからまた今度にしてくれ
美琴,大丈夫よ、そんな時間は取らないから。はいコレ
上条,それは...チョコ？
美琴,当然義理よ。アンタには彼女居るから最初はあげる予定なかったけど、でもアンタには去年お世話になったからその感謝を込めて決めたの。アンタが居たおかげで今の妹達と私が居る。本当にありがとね。アンタからくれた希望、これからは自分らしく生きる事にするわ。だからこれが最初で最後のアンタにあげるバレンタイン。ありがたく食べなさいよ
上条,サンキューな御坂
美琴,それじゃあ行きなさい。可愛い彼女がアンタを待ってんでしょう？
上条,そうだな、じゃあ行くわ
美琴,......。...幸せそうでなによりだわ
上条,ただいま
心理目録,おかえり
上条,おや？もう来てたか、操祈
食蜂,だって早くチョコ渡したかったからぁ
上条,そっか
食蜂,まずこれが取り巻き達の子からねぇ
上条,おう、ありがとうと伝えといてくれ
食蜂,了解。それでこれが私からの手作りのチョコよぉ☆
上条,ハート型か、操祈からの愛情が充分に伝わってくるよ
禁書,良かったね、とうま
食蜂,インデックスちゃんの分もあるわよぉ
禁書,本当に！？ありがとうなんだよ！みさき
食蜂,どう致しまして
上条,食べていいか？
食蜂,溶けないうちに召し上がれ
上条,それじゃあ早速......おっ！絶品だな
食蜂,フフフ、私の愛情力が詰まった一品をしっかりと味わうんだゾ☆
禁書,チョコうまうま
食蜂,今日はどうしようかしらねぇ。当麻さんは友人と遊ぶ約束が入ってるしぃ、縦ロールちゃん達とエクレール食べに行こうかなぁ
綿辺,食蜂さん、ちょっといいですか？
食蜂,はい。何でしょうか？綿辺先生
綿辺,ある知り合いから聞いた話ですけど、食蜂さんはとある高校の男子生徒さんとお付き合いなさってるってのは本当でしょうか？
食蜂,そうですけど...
綿辺,あら、やっぱりそうだったのですね。実は私の知り合いがその食蜂さんとお付き合いしてる男子生徒の担任の先生なんですよ
食蜂,えー！？そうなんですか？
綿辺,はい。月詠先生と言いましてね、先日お会いした時に聞きました。貴方が月詠先生の生徒、確か上条当麻さんと交際していると
食蜂,ええ、間違いありません
綿辺,どうやら上条さんと言う方は月詠先生お気に入りに生徒らしく、たまに会うとよく上条さんの事でお話するんですよ
食蜂,(先生に気に入れられるとはさすがは当麻さん)
綿辺,まぁ、話はさておき。くれぐれも学生らしいお付き合いをするようにして下さい。食蜂さんは超能力者ですからなにかしらの不祥事がないようお願いします。いいですね？
食蜂,分かりました
綿辺,私は食蜂さんの恋路を応援してますよ
食蜂,ありがとうございます！綿辺先生。(綿辺先生って基本良い先生よねぇ。はぁーそんな先生を過去に洗脳してた自分をそげぶしてやりたいわぁ)
ファミレス,Joseph's
青ピ,いやー久々やな、こうしてデルタフォースだけでお茶するのも
土御門,夏休みにファーストフード店に行って以来だにゃー。確かあん時はカミやんが俺達にシェイク奢ってくれたぜよ
上条,(そういや記憶失った後にこの二人に会ったのってあの日が初めてだったな)
青ピ,確か姫やんに会ったのもあの時やったなー。巫女さん姿で
土御門,やっぱり巫女さんは黒髪ロングに限るにゃー
上条,そうか？上条さんは金髪ロングも良いと思うんだが？
土御門,はいはい惚気乙
青ピ,前までは年上の寮の管理人と言うマイナーなタイプやったカミやんが今では年下のパツキン巨*系お嬢様やで
上条,だって操祈は上条さんの彼女ですから
土御門,すっかりJCにデレデレですたい
青ピ,でも年下はええもんやろう？
上条,悪くないな
土御門,それでこそ我が親友だにゃー
店員,お待たせしました、エクレールでございます
縦ロール,女王、最近王子とどんな感じですか？
食蜂,どんな感じも何も、私と当麻さんはラブラブよぉ。わかりきった事を言うんじゃないんだゾ☆
縦ロール,そうでしたわね
食蜂,でもねぇ、ちょっと不満力もあったりにするわぁ
縦ロール,不満ですか？
食蜂,当麻さんの方からスキンシップして来ないのよぉ
縦ロール,スキンシップですか...
食蜂,私から結構するのに当麻さんの方からなかなかしてこないのよぉ。なんでかなぁ？
縦ロール,うーん遠慮しているのではないでしょうか
食蜂,そうなのぉ？
縦ロール,王子って言う方はわたくしから見た限りでは草食系だと思いますの。そういったタイプって言うのはまず自分から手を出しません
食蜂,確かに
縦ロール,ですのでここは女王からハッキリとお願いするのですわ！待っていてはいつまで経っても変わりませんよ
食蜂,分かったわぁ。当麻さーん
上条,操祈って意外と甘えん坊だな
食蜂,こんな事するのは当麻さんの前だけよぉ☆
上条,普段は常盤台の女王として皆を引っ張ってるからな。皆には見せない操祈を上条さんに見せて嬉しいよ
食蜂,なら当麻さんも私だけにしか見せない当麻さんを見せてくれなぁい？
上条,え？それってどういう風にすれば良いのか？
食蜂,スキンシップしてくれれば良いんだゾ☆
上条,スキンシップでせうか？
食蜂,今の私みたいにスリスリしたり、抱きついて来れればいいのよぉ
上条,......恥ずかしいんだが
食蜂,恋人なんだから遠慮する事ないって前にも言ったでしょ？いい加減ヘタレ力をなんとかしなさいよぉ
上条,しかし...
食蜂,お・ね・が・い
上条,(コイツ可愛い過ぎだろー)。じ、じゃあスキンシップするぞ
食蜂,バッチコーイ☆
上条,ソレッ！
食蜂,そう、それでいいのよぉ
上条,操祈っていい匂いするな
食蜂,いい香水使ってるからねぇ
上条,なんかスッキリする気分になっていくよ
食蜂,当麻さんって匂いフェチ？いい趣味してるねぇ
上条,ち、ちげーよ！上条さんはヘン夕イじゃないわ！
食蜂,別に当麻さんがヘン夕イでも私は全然構わないわよぉ
上条,だから違うつーの！
食蜂,フフフ、当麻さんはいちいち可愛いわねぇ
上条,だから男に可愛いって言わないの///
食蜂,顔が赤くなってるわよぉ
上条,誰のせいでこうなってると思ってるんですか？
食蜂,しーらない
上条,ムキィー
食蜂,まぁまぁ落ち着いて。さすがにやり過ぎだと思ってるわよぉ
上条,分かってくれればいいよ。なぁ、もう一回抱きついてもいいか？
食蜂,いちいち言わなくていいのよぉ、私はいつでもOKなんだからぁ
上条,では失礼して
食蜂,いいわぁ♪
上条,操祈を抱いてるとなんか安心するんだよな
食蜂,母性力を感じるのぉ？
上条,まぁ、そんな感じだな
食蜂,フフフ、当麻さんも甘えん坊さんねぇ
上条,悪りぃな、長い時間抱きついちゃってよ
食蜂,いいのよぉ。これからも当麻さんからスキンシップして来ると嬉しいんだゾ☆
上条,たまにならな
食蜂,暇だなぁ...。当麻さんは用事があるしぃ、縦ロールちゃんは取り巻きの子達と外出...。......たまには一人で街をブラブラしようっと。そうと決まれば早速出掛けますか。こうして一人で街中を歩くのも久々ねぇ。今までは当麻さんとか縦ロールちゃん達とで一緒に行動してたからねぇ
通行人A,あれ？常盤台の心理掌握じゃね？
通行人B,やっぱ可愛いな！ナンパする？
通行人C,やめとけ、能力で操られるのがオチだぜ。それに、あの子は彼氏持ちだ
食蜂,まぁ、私の美貌力なら見惚れしまうのも無理ないわねぇ。でも私には当麻さんと言う素敵な彼氏にしか興味ないからごめんなさいねぇ。にしても、なんか面白い事ないかなぁ？
小萌,きゃっ！
食蜂,痛ぁ！
小萌,あわわわわ大丈夫ですか？
食蜂,もー痛いじゃなぁい！
小萌,あれ？もしかして食蜂ちゃんじゃないですか！
食蜂,え？そうですけど...
小萌,やっぱり食蜂ちゃんですね！！まさかここで会えると思わなかったですよー
食蜂,あのーお嬢ちゃん？君はなんなの？
小萌,お嬢ちゃんじゃあありません！私はこれでも立派な大人なのです
食蜂,あら、エイプリルフールはまだ一週間早いわよぉ
小萌,本当ですよー！今私はとある高校の先生をやっているのです
食蜂,(とある高校！？当麻さんが通ってる学校じゃない！)
小萌,あっ！名前言ってませんでしたね。月詠小萌と言います。なんと先生は食蜂ちゃんと付き合ってる上条ちゃんの担任なのですよー
食蜂,月詠......って事は貴方が綿辺先生の知り合いの...
小萌,はい。綿辺先生とは旧知の間柄なんですよー
食蜂,...すみませんがちょっと失礼して
小萌,ふぇ？
食蜂,......本当みたいですね
小萌,もしかして能力を使ったのですか？
食蜂,ええ、申し訳ありませんけど月詠先生の頭の中覗かせていただきました
小萌,これで先生が立派な大人だと分かっていただけましたか？
食蜂,はい、かなりお酒を飲むらしく、自宅には居候も居るってことを
小萌,そこまで分かっちゃうのですね
食蜂,後今日はクマさんパンツを穿いてる事も。大人なのにちゃんと見た目相応の下着付けてらっしゃるのね
小萌,わーー！！それは口に出さなくていいですよー///。てか何故先生の下着まで分かるのですか？
食蜂,口に出てましたよ。今日はクマさんパンツを穿くのです
小萌,そうでしたか...うー恥ずかしい///
食蜂,ごめんなさいねぇ
小萌,オッホン、では気を取り直してです。食蜂ちゃんは上条ちゃんとお付き合いして楽しいですか？
食蜂,はい！勿論です。当麻さんは私にとってスゴく大事な方なんです
小萌,そうですかー上条ちゃんは幸せ者ですね。先生は安心しましたのです
食蜂,月詠先生、当麻さんは普段学校ではどんな感じですか？
小萌,かなりの人気者でモテモテですよー。ただ、成績に関しては馬鹿なんですけどね
食蜂,(当麻さんのフラグ建築能力はさすがと言った所かぁ)
小萌,先生のクラスメートのほとんどの子猫ちゃんが上条ちゃんにフラグが建ってますからね
食蜂,(常盤台にもフラグが建っているのが居たけどねぇ)
小萌,そんな多数のライバルが居る中で食蜂ちゃんが物に出来たことは凄い事です
食蜂,ありがとうございます
小萌,では、先生はここで失礼しますね
食蜂,はい。お気をつけて。あれが当麻さんの担任の先生かぁ......いつ頃から身長力が止まったのかしらぁ？。結局面白い事がなかったわねぇ。はぁ、退屈ねぇ
上条,なら退屈しのぎに俺と話して行きませんか？お嬢さん
食蜂,ナンパならお断り...って当麻さん！
上条,よぉ、用事が済んで適当にブラついてたらたまたま操祈を見つけたんでな
食蜂,こんな所で会うなんてやっぱり運命だねぇ☆
上条,せっかくだからどっかお茶して行くか？
食蜂,賛成
上条,俺はアイスコーヒー
食蜂,私はカフェラテとチーズケーキで
店員,かしこまりました
食蜂,来月には新学期ねぇ
上条,そうだな。上条さんはなんとか進級出来て良かったですよ
食蜂,進級出来たのは誰のおかげかしらぁ？
上条,勿論操祈様でございます
食蜂,そう。当麻さんはやれば出来るんだから頑張りなさいよぉ
上条,努力します
食蜂,よろしい
上条,操祈は来月で三年生になるんだよな。そろそろ進学先を考える時期じゃないか？
食蜂,うん。中学校最後の学年だしねぇ、私は当麻さんと同じ高校に行きたいと思うわぁ
上条,え？上条さんの学校にか？操祈の成績だったら長点上機か霧ヶ丘辺りの名門は絶対行けると思うぜ
食蜂,あまり興味はないわねぇ、大事なのは自分がやりたい事よぉ。成績なんかは所詮自分の可能性を広げるだけにしかならないからねぇ
上条,じゃあ操祈は何をやりたいんだ？
食蜂,それはまだ秘密。でも近い内には明らかになるかもねぇ
上条,近い内にか...
食蜂,(フフフ、その時まで楽しみにしててねぇ、当麻さぁん☆)
上条,こうやって手を繋いで歩くってのもすっかり日常になってきたな
食蜂,恋人なんだから当たり前じゃなぁい
上条,最初は恥ずかしかったんだぜ
食蜂,当麻さんは意外とシャイなんだねぇ
上条,でも慣れるとどうって事はないな。もっとこの時間が続けばいいなと思ってるよ
食蜂,それは私も一緒よぉ
上条,そっか。なぁ、そこのベンチに座ろうか
食蜂,いいよぉ
上条,......
食蜂,......
上条,一つ聞いていいか？
食蜂,するだけならご自由に
上条,どうして好きになったのが上条さんだったんだ？俺操祈から好かれる事したっけ？
食蜂,......少し昔話になるけどぉ。聞いてくれるぅ。あれは？
美琴,ちょっと待ちなさいよ！アンタ
上条,何だ御坂？上条さんはこれからスーパーに買い物なんですよ？
美琴,そんなに急ぐ事なの？ちょっとは私と話してくれてもいいじゃない
食蜂,御坂さんにあのツンツン頭は上条さんだったかしらぁ。私の洞察力からすると御坂さんはあのオトコにゾッコンよねぇ。面白いそうだから上条さんを洗脳して私のモノにしちゃおう。エイッ
上条,あのなー上条さんはこう見えても多忙なんですよ
食蜂,あれ？効いてない
上条,だから御坂に構ってられないです事よ
食蜂,なんで上条さんも私の干渉力が効かないのぉ？
上条,そういう訳なんで上条さんは行きますよ。また今度な
美琴,待ちなさいよ！......はぁーそんなに私の事眼中にない訳...
食蜂,......。(上条当麻...あの男は何者かしらぁ)。(超能力者の私の力が通用しないとは...これは調べてみないと)。上条さんが通ってる高校の生徒の頭の中を覗きまくったら結構分かって来たわぁ。上条当麻。無能力者なのに幻想殺しと言うどんな能力も打ち消す能力を持つ。さらに御坂さんの妹さんを覗いた所あの絶対能力進化実験。......。......上条当麻さんかぁ。え？なんでこんなに心臓の鼓動力が速くなったのぉ？。どうして....,上条さんの事を考えてたら急に...。もしかして......私...。そうか......上条さんに惚れちゃったんだぁ...。私は......上条さんが好きぃ、好きなんだぁ。という訳よぉ
上条,そうか...
食蜂,好きになったからには早速アタックしまくり。当麻さんが振り向いてもらえるよう頑張った。でも当麻さんは鈍感力があるから全然気づいてもえなかったけど。インデックスちゃんのおかげで告白する決心がついたのぉ。持つべき物は友達よねぇ
上条,ホント、インデックスには感謝しないとな
食蜂,最後に一つ。こんな私を好きになってくれてありがとう
上条,こちらこそ、こんな不幸な男を好きになってありがとう
食蜂,これからも宜しくねぇ
上条,こちらこそ。操祈！
食蜂,あっ！当麻さん
上条,こんな時間に呼びたしてどうしたんだ？
食蜂,ちょっとねぇ、散歩しない？
上条,散歩？いいけどさ
食蜂,少し先に桜があってねぇ、せっかくだから枯れない内に当麻さんと夜桜を見たいのぉ
上条,夜桜か、それは是非見てみたいもんだ
食蜂,なら決まりねぇ。綺麗だねぇ
上条,ああ綺麗だ。でも操祈の方がもっと綺麗だぜ
食蜂,ありがとう。当麻さんなら言ってくれると思ってたわぁ
上条,まぁ、本当の事なんだからな
食蜂,ねぇ、もう一つ行きたい所があるのぉ。ついてきてぇ
上条,どこに行くんだ？
食蜂,ここ
上条,学園都市にはこんなスポットがあったのか。夜景が綺麗だ
食蜂,でしょう？ここは学園都市でも有名なデートスポットなのよぉ
上条,夜のデートには持って来いだな
食蜂,さてと、これから大事な話をするわぁ
上条,大事な話？
食蜂,私と当麻さんが付き合ってそろそろ半年になるわねぇ。当麻さんに出会えて、付き合えて本当に良かったぁ！。これからも一緒に道を歩んで行きたい
上条,操祈...
食蜂,まだ言うには早過ぎる年齢だけど。でも...でも......でも！！。もう恋人な関係だけでは嫌。だからハッキリ伝えるわ！。私と結婚して下さい！
上条,どうぞ
土御門,やぁーカミやん。お祝いに来たぜよ
青ピ,おめでとうカミやん
姫神,おめでとう。上条君
吹寄,おめでとう上条。まさか貴様がクラスの1番のりとはな
上条,ありがとな
土御門,友人代表のスピーチは俺と青髪でやらせてもらうから楽しみにしててにゃー
上条,変な事言うなよ
青ピ,さぁ？どうやろな
上条,まさか...テメェら言うつもりか？そうなんだろう？
土御門,それはスピーチが来てからのお楽しみにゃー
青ピ,では、式で会おうや
姫神,また後ね。上条君
吹寄,じゃあな、上条
上条,待てコラ！。アイツら！何を言うつもりなんだ？全く...。どうぞ
美琴,オッス！来てやったわよ。結婚おめでとう
黒子,おめでとうございますの
初佐,おめでとうございます、上条さん！
上条,よぉ、御坂に白井に初春さんと佐天さん
美琴,アンタが食蜂と結婚するとはね、たいしたもんだわ
黒子,よくまぁ、あの食蜂操祈と結婚出来きたもんですの
上条,逆プロポーズだけどな
初春,え？逆プロポーズだったんですか！？
佐天,食蜂さんから逆プロポーズされるとは、さすが上条さん！
上条,どうやら結婚を前提にお付き合いしたかったそうだ
美琴,良かったじゃない。アンタと結婚してくれる人が居てさ
黒子,お姉様もいつかはわたくしと結婚する事dグハァ！
美琴,お断りよ
黒子,
佐天,白井さんは何年経っても変わらないな
初春,ヘン夕イなくして白井さんなしですからね
美琴,それじゃあまた後でね
黒子,
初春,失礼しました
佐天,では上条さん。楽しみに待ってますよ
上条,そういや御坂は最近彼氏が出来たらしいけど、相手誰なのか聞くの忘れちゃったな。どうぞ
打ち止め,ヤッホーとミサカはミサカはヒーローさんの控室に突撃してみる
一方,邪魔すンぞォ
番外個体,ミサカも来てやったぜ
浜面,オッス大将
滝壺,おめでとうかみじょう
上条,よぉ、お前らも来てくれたのか
一方,俺は来るつもりなンてさらさらなかったけどォ
番外個体,とか言いながら1番行きたかったのはアナタのクセに
一方,黙れ
浜面,一方通行はツンデレだからな
一方,浜面くン。ちょっと外に出ようかァ
浜面,ヒィー
滝壺,大丈夫、あくせられーたに連れていかれるはまづらを応援してる
打ち止め,浜面のお兄ちゃんが無事でありますようにとミサカはミサカは一応祈ってみたり
浜面,いやいや助けてけてくれよ！
番外個体,世紀末帝王様には一回爆発しないとねぇ
上条,頑張れ浜面
浜面,不幸だーー
番外個体,人の台詞パクリやがったぜ新郎さん
上条,別にいいよ。それに、今はもう不幸じゃないしね。どうぞ
ステイル,入るよ
神裂,失礼します
上条,ステイルと神裂じゃないか
ステイル,君の結婚なんかはどうでもいいけど、あの子の管理者だったから一応来てあげたよ
神裂,ステイル、そういう言い方しなくてもいいのではありませんか？上条当麻この度は結婚おめでとうございます
上条,ありがとな、他の連中は来てないのか？建宮とか
神裂,今回は代表として私とステイルのみです
ステイル,参加人数が限られてるからな
神裂,大丈夫でしょう。この結婚式は生中継でやる見たいですから、テレビで我慢してますよきっと
上条,そういや、TV放送されるんだっけ？
ステイル,世界を救った幻想殺しと学園都市の七人しかいない超能力者の結婚式だからね。やる価値はあるだろう
神裂,ですね。それでは一旦失礼します
ステイル,くれぐれも失態を起こさないようにしたまえ
上条,ステイルの奴、一言多いんだよ
禁書,綺麗なウェディングドレス姿なんだよ、みさき
詩菜,あらあら、とっても似合ってますわよ操祈さん
縦ロール,素敵ですわ、女王
食蜂,ありがとうございます
禁書,良かったねみさき。とうまがプロポーズを受けてくれて
詩菜,操祈さん。そのプロポーズ、当麻さんはなんて返事したのですか？
食蜂,確かその......上条さんで良ければ喜んで受けとります
禁書,とうまにしては普通な返事だったね
食蜂,それでも私は嬉しかったわよぉ。受け入れてくれた時は10分ぐらいキスしたしぃ
詩菜,あら！それはロマンチックでいいですね
縦ロール,羨ましいです、女王
詩菜,さて、そろそろお時間ですから行きましょう
禁書,分かったんだよ、しいな
縦ロール,それでは女王、また後で
詩菜,操祈さん、当麻さんを宜しく頼みますね？
食蜂,はい！任せて下さい、詩菜さん。よし！これで私と当麻さんの結婚計画は達成ねぇ
刀夜,当麻、もう時間だから準備しとけよ
上条,分かった。いよいよか
食蜂,そうねぇ
上条,なぁ操祈
食蜂,何？
上条,俺は幸せになってもいいんだよな？
食蜂,いいに決まってるじゃなぁい！今更何言ってんのよぉ
上条,だよな、変な事聞いて悪かった
食蜂,あのねぇ、私が当麻さんに告白した時にも言ったけどぉ。もし誰かが上条さんを不幸にするならば。これで(リモコン)そんな幻想ぶち殺すわぁ。だから安心しなさい。いいわね
上条,ああ！安心したぜ
食蜂,ねぇ。一つ思ったことがあるんだけどぉ
上条,なんだ？
食蜂,私は心理掌握で当麻さんは幻想殺し
上条,それで？
食蜂,これからは2人で一緒になるんだからこう呼ばない？。掌握幻想っていい響きじゃなぁい？
上条,そうか？
