・一日一ストーリー,全部で九つ
にこ,気付いた？絵里、自分の大切な取柄を犠牲にしてまで希を選んだのよ。気持ちを整理してもう一回向き合うことをオススメするわ。何かを犠牲にしてまで叶えた夢、再度希が叶えてやりなさいよ。今度は、犠牲がない夢で
希,ちょっと待って！。にこっちは…にこっちは何を犠牲にしたん…？
にこ,……さぁね。でも気にしなくていいわよ、絵里みたいにあんな生殺しするような代償じゃないから
希,そ、それって…
にこ,…想像にお任せするわ。じゃあね、私はもういくわ。絵里、頼んだわよ
希,………
絵里,！
希,…やっほーえりち
絵里,…なに？
希,ちょっと忘れ物しちゃって…
絵里,そう…取り終わったら早く出てって。！！！
希,ウチはえりちにさよならなんてしないよ、ウチの気持ちは偽物でもないし魔法で狂った気持ちでもない。本当の気持ちなんよ。ウチはずっと前からえりちのことが大好き
絵里,そんな…その優しさが魔法のせいなのよ…！
希,ううん、違うよ。ウチねヘタレだったからいつまでもえりちに好きって言えなかった。だからね！正直えりちのかけてくれた魔法には感謝してるんよ。でもやっぱり言わされた感があったからもう一回。えりち、大好きだよ
絵里,信じて…いいの？
希,うん、信じて
絵里,バカみたい…なんで私希のこと信じなかったのかしら…。誰かにとられるんじゃないかってずっと焦ってた…
希,ウチもそうやった、穂乃果ちゃんとかにこっちにとられたらどうしようってずっと思ってた
絵里,…バカね、私たち
希,うん…大馬鹿やん。それでね、今の話聞いて決めたんよ
絵里,え？
希,これ
絵里,…チョコ？
希,えりちの足が治る代わりにウチの記憶からえりちが消えるチョコ
絵里,え？！ちょっダメに決まってるじゃないそんな危険なチョコ！
希,凛ちゃんに場所教えてもらったんだ、そこでこういうチョコを作ってもらった。代償を作るにはこのくらいじゃないと成立しなかったんよ…。一生治らない足を治すための代償はこのくらいじゃないと…
絵里,ダメよ！そんなの食べちゃダメ！
希,…ウチはまたえりちと一緒に歩きたい
絵里,私の足なんていいから！自分を大事にして！
希,えりち……。きっとえりちを忘れたウチでもえりちを好きになる、だからその時また…
絵里,―――――！！！
にこ,それであんた…
希,…？
にこ,はぁ……。全然犠牲を防げてないじゃない…。ねぇ希
希,なに？
にこ,私は誰？
希,にこっちやん
にこ,この人、誰だかわかる？
絵里,………
希,………。…ごめん、分からない
にこ,おっとと…気持ちは分からなくもないけどしっかりしなさい…
絵里,え、ええ…。こんにちは、初めまして…になるかな、あなたには
希,？
にこ,あんまり無理しなくいいわよ？
絵里,いえ、いいの。すーはー……。私は絢瀬絵里、あなたの恋人よ
希,え…
にこ,希は絵里の治らないはずの足を希が絵里を忘れることで絵里の足を治したのよ。………！
絵里,にこ？
にこ,……ふっ。絵里、私トイレに行ってくるわ
絵里,え、ええ…。………
希,………
絵里,気まずいわね…
希,気まずいなぁ…
絵里,あ、え、えっと希言ってくれたのよ
希,？
絵里,えりちを忘れたウチでもウチはえりちを好きになるって…
希,……それで？
絵里,…！そ、そうよね…！ご、ごめんなさい…。………
希,あちゃー…つい本音が…。もしホントにウチの恋人だったら酷いことしてるなぁ…ウチ。！
絵里,希が私を知らなくても私は希の事、ちゃんと覚えてる。どんな希でも大好きのままだから！！。…払った代償は取り戻せない、だからまた組み上げるしかないのよ。だからまたやり直す、１から…。元々あんなチョコに頼ったのがいけなかったのよ、一度組み上げた関係だったけど崩して後悔はない、希にも素っ気ない感じで振り払われたけど。チョコを食べたことは後悔してるけどね
希,…うん。暖かいなぁ…ウチに対する熱さかな…
穂乃果,おー！希ちゃーん！
絵里,！。危ない…抱き着いてるところなんて見せられないわ…
ことり,お見舞いにきたよ♪
真姫,元気にしてる？
希,う、うん！元気！
凛,絵里ちゃん泣いてなかった～？
海未,ふっ流石にそれはないですよ、絵里を何だと思ってるんですか
希,ウチの恋人だよ
絵里,！！
にこ,ふふっ…。この先の未来も…大丈夫そうね
希,そうでしょ、えりち
絵里,え、ええ…
希,だって、ウチの恋人だよ
にこ,みんな呆気にとられてるわね…。あ、そうそう！みんな用事があってきたんでしょ？
穂乃果,……あ、うん！はい、これチョコレート！
希,チョコレート？あ、今日って…
絵里,…！
穂乃果,バレンタインだよ！
絵里,！！！
凛,はい！どうぞ！
希,このマイクは？
凛,叶えたい願いをどうぞ言って！
絵里,！？
ことり,今度ちゃんとしたバレンタイン会やろうね♪
凛,うんうん！
絵里,ちっ…ちょ…チョコは…
にこ,絵里？
絵里,チョコはもう認められないわよぉ！！！
理事長,夢が叶うチョコレート、チョコが好きで欲望に忠実なら食べない他ないですよね。ですが何かを得るには何かを犠牲にするしかないのです。犠牲したものと得たものに互換性がなくても感じる気持ちは必ず“後悔”なんだと思います。そんでもって私はノーリスクで夢が叶うお酒が欲しいな～。あ、ホントにあるじゃない！。えーっと…ことりともっと仲良く出来ますように！！！。…あれ？
ことり,お母さん！
理事長,あらことりどうしたの？
ことり,お母さんと私はもう仲良しでしょ！これ以上あがらないくらいに！
理事長,！。そうよね！私が間違ってたわことりいいい！！
ことり,おかあさあああん！！！
希,…叶ってるやん、その夢
理事長,世界は何が起こるかわかりません。宝くじで大当たりが出ても今すぐ何かしらの原因があって死んでしまっても人生で勝ち組になれる転機が来ても。それは“不思議”とは呼べません。そう、それは例え魔法が使えても…。ですがこんなこと考えていて少し思いませんか？。宝くじなんて当たるわけない、俺はずっと家にいるから事故死はまずない、そんな漫画やアニメみたいなこと起こるわけない。魔法なんて絶対に使えない。当たり前ですよね？だから人々はこういう目で見るんです。“普通”じゃない…と
