このスレッドは,とある魔術の禁書目録
滝壺,そんで決め台詞を言ってあげると効果的だと思う。かみじょう、私がいるじゃないとか言えばかみじょうはイチコロなはず
フレンダ,それ滝壺が浜面によく言ってる台詞じゃん
滝壺,てへっ
フレンダ,このダメ面製造機め
滝壺,とまぁかみじょうをオトシたいならこれぐらいはやらないと。良い？鈍感な人を振り向かせるには積極性が求められるのよ
フレンダ,......そうよね
滝壺,大丈夫。頑張れば報われるから自信を持って
フレンダ,うん
滝壺,そんなふれんだを私は応援してるから
フレンダ,ありがとう滝壺
滝壺,もしかみじょうと恋人になれたらいつかダブルデートしよ？
フレンダ,ま、まぁ恋人になれればね...
滝壺,なれればじゃなくてなるのっ！
フレンダ,は、はい！。うん？男の湯の方から声がするね。しかもあの声は...
滝壺,どうやらはまづらとかみじょうも温泉入りに来たみたいね
フレンダ,だね
滝壺,覗く？
フレンダ,いや、それ普通に逆
上条,はぁー極楽極楽
浜面,いい湯だな
上条,......
浜面,......
上条,なぁ、浜面
浜面,何だ？
上条,爆発しろ
浜面,またそれかよ！！？急にそれフっても意味が分からんわ！
上条,あれだけ滝壺とイチャイチャとネットリしやがって！
浜面,ネットリはしてないんだが...
上条,あんな光景を目の当たりにして何度浜面に殺意が芽生えた事やら
浜面,コラコラ、正義のヒーローが殺意とか言っちゃいけません
上条,はぁ、いつになったら上条さんにモテ期が来るのやらね...
浜面,(いや、アンタはとっくに来てると言うか死ぬまで一生モテ期だよ)
上条,にしても、よく滝壺のような良い子をGET出来たよな
浜面,まぁな。自分でもビックリするぐらいだもの
上条,やっぱ付き合うと毎日が楽しい？
浜面,そりゃあ勿論。時間があればほぼ毎日会ってるし。デートだって何回か行ったぜ。絹旗が勧めたつまらん映画観たり、一緒にゲーセン行ったり、ドライブに連れてったりな
上条,羨ましいぜコンチクショー！
浜面,滝壺さえ居れば雑用も苦じゃないぜ
上条,これがリア充と非リア充の違いなのか...。所でよ、付き合ってるんならもうアレしたのか？
浜面,アレって？
上条,そ、そのーSから始まってXで終わる三文字の単語だよ
浜面,SIX？
上条,ボケんじゃねーよ！ちゃんと答えろ
浜面,ハハハ！分かってる分かってる。アレだろう？まだしてないんだよなコレが
上条,あら意外。浜面みたいな発情猿がまだしてないんだなんてこれは予想外
浜面,誰が発情猿だコラ！
上条,フレンダから聞いたぜ。いつもバニー本見てハァハァしてるって
浜面,(フレンダァァァァ！！何故それを知ってやがる！？)
上条,それでいつか滝壺にバニー着させてプレイするつもりなんだろう？うわぁ...キモイっすよ浜面さん
浜面,良いじゃねぇか別に。バニー好きで何が悪い！
上条,うわぁ...開き直ったよ
浜面,じゃあよ、大将はフレンダがバニーの格好したらどう思うよ？
上条,何でフレンダ限定？
浜面,いいから答えろ
上条,バニー姿のフレンダね...。浜面...良い。メッチャ良いよ！！
浜面,だろ？
上条,バニーってこんなにも凄いとは思わなかったよ！
浜面,バニー最高！
上条,最高！
フレンダ,何叫んでる訳よ...
滝壺,仲間が出来て喜んでるはまづらが絵に浮かぶ
フレンダ,バニーねぇ...
滝壺,着たいなら貸してあげるよ
フレンダ,結構よっ！！てかバニーコス持ってるのかいっ！？
滝壺,どっちだと思う？
フレンダ,滝壺の事だからマジで持ってそうな気がする訳よ...
上条,いやー最高の露天風呂でした
フレンダ,おーお帰り。サッパリした？
上条,おう、サッパリしましたぜ
フレンダ,だよねー。あまりにも気持ち良さに1時間近くも入っちゃった訳よ
上条,
フレンダ,どうしたの？
上条,いや、浴衣姿のフレンダが可愛い過ぎて見惚れちまうなーと思いまして///
フレンダ,か、かか可愛すぎるっ！！？///
上条,それに結構色っぽいしな
フレンダ,そ、そうかな？外人の私が日本の浴衣着ても違和感ない訳？
上条,全然。寧ろフレンダみたいな子が着た方が新鮮だって
フレンダ,あ、ありがと。そ、そのー上条もよく似合ってる訳よ///
上条,おうサンキュー。結局、フレンダたんから言われるとメッチャ嬉しい訳よ
フレンダ,私の真似すんなっ！つかたんはやめてよ！
上条,ごめん
フレンダ,(良かった。一度でいいから浴衣は着てみたかったんだけど、私みたいなよそ者(外人)が似合う訳ないから自信が持てなかったのよね)
上条,あの温泉って疲労回復の効果もあるみたいだから毎日でも入りたい気分だよ
フレンダ,上条ってしょっ中疲れて訳？
上条,まぁ、結構な...
フレンダ,情けないわね
上条,悪かったな
フレンダ,それに引き換え、この私は疲れ知らずな訳よ。フフン
上条,その元気さがフレンダの良い所だよな
フレンダ,とは言ってもさっきの海の鬼ごっこはさすがにキタけどね
上条,ここでそれを掘り起こすなよ
フレンダ,だって砂場で走った訳なんだからキツイって。今でも足が少し筋肉痛なんだから
上条,そりゃあ悪かったよ。上条さんが
フレンダ,なら罰として上条は私の脚をマッサージしてもらおうかしら
上条,マッサージだぁ？俺が？フレンダの脚を？
フレンダ,そう
上条,....でも良いのか？ご自慢の脚線美を男の俺がマッサージしちゃっても？
フレンダ,うん。上条は特別だから
上条,特別なんだ
フレンダ,上条になら脚を触られても良いから
上条,何で俺ならいいんだ？
フレンダ,そ、それは私が上条の事がす...じゃなくて！///
上条,？
フレンダ,そんなのどうでもいいからさっさとマッサージしなさいっ！///
上条,わ、分かった
フレンダ,存分に揉んで頂戴ね
上条,へいへい
フレンダ,じゃあうつ伏せになるから宜しくね
上条,あいよ。では行くぞ
フレンダ,あっ、ちょっと待って
上条,何だ？
フレンダ,えっとね...そ、その浴衣越しだと効果ないんじゃないかなーと思うからさ...じ、直でやって欲しい訳よ///
上条,直でか？うーん確かに肌に直接揉んだ方が効果的かもしれんな
フレンダ,でしょ？
上条,ならそれで行こう
フレンダ,お願いね
上条,捲るぞ
フレンダ,あんまり捲り過ぎないでね。み、見えちゃうからさ///
上条,そんなヘマはしませんよ。よし。それでは失礼して
フレンダ,あっ...良い。んっ...凄く良いよ上条
上条,気持ち良いか？
フレンダ,うん。結構上手いじゃない。あっ...そこ、そこが気持ちいい訳よ。そこを重点的にやって
上条,了解
フレンダ,あんっ...やばい。これはやばいわ...んっ...はん
上条,ちょっ！？変な声出すなって。誤解されるって！
フレンダ,だって気持ち良い過ぎるだもん。あっ...らめぇ
上条,隣の浜面達に聞かれたらマズイって。少し声抑えろって！
フレンダ,別に如何わしい事してる訳じゃないんだから問題ないって。うん...はぁ...んっ...気持ち良い...
上条,(マズイな。上条さんの鉄壁の理性に亀裂がぁ)
フレンダ,次は腰をお願い
上条,(持ってくれよ俺の理性)
フレンダ,んっ......はぁ。やっべー。超ヤバかった訳よ。上条って意外とテクニシャン？
上条,んな訳ねぇだろう
フレンダ,本当に？上条の事だからあっちこっちの女の体を揉んでそうな気がする訳よ
上条,そんな事したら上条さんはとっくに少年院に収容されてるわっ！
フレンダ,冗談よ。ありがとね。おかげでだいぶ痛みが和らいだ気がする訳よ
上条,どういたしまして。(あーマジで危なかった......もう少しの所でフレンダをキズモノにしてた所だよ。まったく、フレンダの声は工口過ぎだぜ！)
フレンダ,......
上条,ふぁ～。そろそろ寝る時間かな？
フレンダ,ねぇ上条
上条,ん？
フレンダ,これから海に行かない？
上条,今から海にか？まぁいいけど、結構寒いぞ？
フレンダ,平気よ。少し外の空気吸いたい訳だしさ
上条,そうか
フレンダ,行こ
上条,ああ
フレンダ,何処かでウミガメが産卵してたりして
上条,さぁ？てかウミガメの産卵ってこの時期だったっけ？
フレンダ,知らない訳よ...
上条,上条さんもだ...
フレンダ,だよねー。てゆうかどうでもいいし
上条,うん？ウミガメ見に夜の海に行きたかったのでは？
フレンダ,違うわよ！私がそんな理由で誘うかっつーの
上条,そうムキになるなよ
フレンダ,上条に大事な話があって海に誘った訳よ
上条,大事な話？
フレンダ,うん
上条,それって部屋では出来ないのか？
フレンダ,出来なくはないけど.....それだとム、ムードが出ない訳よ
上条,はい？
フレンダ,と、とにかく大事な話するならここが最適な訳よ
上条,そうですか...。それで、大事な話とは何の事でせうか？
フレンダ,え、えっとね。そのー...。(行くのよフレンダ。ここで勇気を出さなきゃ何も変わらない訳よ！)。上条！
上条,お？な、何だ？
フレンダ,単刀直入に言う。上条と初めて会った時から貴方に一目惚れしました
上条,え？ひ、一目惚れ！？
フレンダ,///
上条,...えーと上条さんの知識に間違いなければ一目惚れとはつまり...俺の事が...
フレンダ,そう。私は上条の事が......好き！大好きって訳よ！
上条,(何だってぇぇぇぇええええ！！？)。(マジか！？あの憧れのフレンダから俺に愛の告白を...)。(いやいや待てよ。フレンダの事だからこれはドッキリでしたとかあり得なくないが...もしかして夢か！？)。......あのーフレンダさん？
フレンダ,うん？
上条,俺の頬を抓ってくれないか？
フレンダ,こう？
上条,痛たたたぁ！
フレンダ,どう？これで夢じゃないと理解した？
上条,だな。これは紛れもなく現実だ
フレンダ,次は上条の番よ
上条,へ？俺の番？
フレンダ,告白したんだから返事聞かせてよ。私と付き合うか付き合わないかここで返事聞かせて欲しい訳よ
上条,今じゃないとダメなのか？
フレンダ,うん。私、待つのは嫌だから
上条,(......俺の答えは......いや、もう決まってるぜ)。フレンダ
フレンダ,はい
上条,俺もフレンダが好きだ
フレンダ,本当に！？
上条,ああ。ようやく気付けたんだよ。俺にとってのフレンダと言う女の子はな憧れの対象だったんだ。でもな、最近はそれとは違うもう一つ別の感情が疼いてたんだ。それが分からなかったんだ。駄目だよな俺って...だから鈍感だの朴念仁と皆から言われる訳だ。そんで、今フレンダに告白されてやっと辿り着いた。その感情がフレンダに恋愛感情を抱いてるって事をな！
フレンダ,じゃあ！
上条,こんな俺で良ければ恋人になって欲しい
フレンダ,うんうん。宜しくね
上条,ああ。これからは恋人として宜しくな
フレンダ,ヤッフゥー！彼氏GETな訳よ！
上条,お、おい急に抱きついてくんなよ///
フレンダ,恋人なんだからいいじゃん。嫌なの？
上条,嫌な訳がねーだろ。寧ろメッチャ嬉しいぜ！
フレンダ,なら問題ナッシング
上条,あのーこういう事は部屋に戻ってからにしません？ここ外だし
フレンダ,大丈夫よ。こんな夜遅くに海に来る人なんかいる訳が...
浜面,あるんだよなーこれが
滝壺,うんうん
上条,え？は、浜面！？
フレンダ,滝壺！？な、ななな何でここに居る訳よ？///
滝壺,海付近でふれんだの電波をキャッチしたから追跡して来ちゃった
上条,.....全然気付かなかった。つか何処から見てたんだ？浜辺で隠れる所なんかねーのに
浜面,アレを見てみぃ
フレンダ,アレって...海の家？
滝壺,そこに隠れて見物してた
上条,あー全く気付かなかったわ...
フレンダ,...って事はだよ？まさか告白シーンも...
浜面,一部始終バッチリとな
フレンダ,にゃああああああ！！！///
上条,おいおいマジかよ...///
滝壺,ちなみに携帯のムービーも撮ってあるよ
フレンダ,ぎゃあああ！！消して！消しなさいよ！！///
滝壺,あっ、ごめん。誤ってむぎのときぬはたに送信しちゃった
フレンダ,はぁー！！？何しちゃってくれてんの！？///
滝壺,ごめんね。手が滑っちゃて
フレンダ,絶対にワザとでしょ！？どうやったら2人に誤送信する訳よ！？
滝壺,あっ！むぎのからメールが来た
上条,早いな...
滝壺,ふーれんだぁ？おめでとう。旅行から帰ったらじっくりと聞かせもらうからにゃーん♪だって
フレンダ,オーマイガ...。結局、私は感じんな所で恥をかいてしまう訳よ...
浜面,でも恋人になれたんだからどって事はないだろう？
フレンダ,それはそうなんだけどさ...
滝壺,まぁ何はともあれ、おめでとう。ふれんだ、かみじょう
フレンダ,ありがとう
上条,どうも。ーーーな訳で上条さんに春が来ましたのさ。イエイ
土青,ソイッ
上条,グハァ！？な、何しやがるんだコラ！ここは祝福する場面でしょうが！？
土御門,いやー悪いにゃー。つい癖で手が出ちまったぜよ
青髪,カミやんからなー。まぁこれは僕らなりの祝福だと思っとき
上条,せめておめでとうの一言ぐらい言ってくれたっていいじゃねぇか...
土御門,もうフラグなんか立てるなよ
青髪,そうやでー。カミやんには勿体無いぐらいのパツキンの美少女の彼女が出来たんだからやからな
上条,心配しなくても、上条さんはフレンダ一筋で生きてくさ
土御門,(さて、ねーちんと五和にはどう伝えればいいか困るぜよ...)
青髪,いいな、僕も早い所彼女見つけてリア充したいわ
上条,お前は性癖を何とかしろよ
姫神,(やっぱ私では。ヒロインすらなれない。可哀相な女...)
麦野,あれから上条とどうよ？工ッチした？
フレンダ,する訳ないでしょうが！まだ付き合って数日しか経ってないのよ？
絹旗,あら、超ビッチなフレンダだから既に大人の階段を駆け上がったのかと超思いましたよ
フレンダ,だからビッチじゃないの！つかそういう事はまだ心の準備が...出来てないし...///
麦野,つまんねーな
滝壺,ふれんだだから仕方がない
フレンダ,お願いだから名前で弄るのやめて？イジメはよくない訳よ
浜面,そういや今日デートじゃなかったか？
フレンダ,そうよ。そんで付き合ってからのデートは初めてだから素敵な記念日にしたいのさ
麦野,へぇーだからパンストは穿いてな訳だ
フレンダ,ま、まぁね。上条は生足が好きだし///
麦野,じゃあこっちの方はどうかにゃーん？
フレンダ,ちょ！！？///
絹旗,ワオー超スケスケな赤パンじゃないですか。フレンダは超工口いですね
滝壺,はまづらは見ちゃ駄目
浜面,ぎゃあああああ！！目がぁ！！目がぁぁぁぁぁああああ！！
麦野,フレンダの癖に色気つげやがって、やっぱヤる気満々じゃねぇか
フレンダ,んな訳がない訳よっ！！これは私なりの乙女の嗜みなの
滝壺,嘘だね。絶対にかみじょうを誘惑するに間違いない
フレンダ,だーかーら違うって！！
絹旗,さすがは超万年ビッチ少女
フレンダ,助けて上条...
麦野,とまぁフレンダ弄りはこの辺にして、一つ聞きたい事がある
フレンダ,何かな？
麦野,彼のどこが好きなのかにゃーん？
フレンダ,ぜ、全部って訳よ///
麦絹滝浜,オー！
フレンダ,///
絹旗,やだ超可愛いじゃないですか！
浜面,ヒューヒュー
麦野,いっその事デレンダ・セイヴェルンに改名しちゃいなよYOU
フレンダ,いい加減にしてよ！つかもう行くね！///
麦野,あーあ行っちゃったな
絹旗,どうします麦野？超後でも付けてみますか？
麦野,うーん面白いけど...やめとくわ
フレンダ,おーい！上条
上条,オッス
フレンダ,待ったぁ？
上条,いや、俺も今来た所だよ
フレンダ,そう。それじゃあ行こっか？
上条,おう
フレンダ,今日は何処に行く訳よ？
上条,そうだな......うーん2人きりになれる所はどうだ？
フレンダ,2人きりって...まさか！？上条、私に何する気よ！？工口同人みたいにするんでしょ！？キャーイヤー(棒読み)
上条,しねーよ！！2人きりになれる所って言ったらカラオケとかそういう場所だ！！アンタは何言ってんのさ？
フレンダ,あー何だ違うのね...いやーメンゴ
上条,大体恋仲になって初めてのデートでいきなりさ、その...あんな場所に行く程上条さんは肉食系じゃねーよ///
フレンダ,ヘタレ...
上条,何か言った？
フレンダ,やっぱり上条は超上条だった訳よ
上条,何だよ超上条って...絹旗ちゃんの真似か？
フレンダ,なんでもない。なんでもないからさっさとデート行こうよ
上条,そうだな。行くか
フレンダ,これからは楽しい日常がいろいろと待ってる訳よ
上条,おーい何してんだ？置いて行くぞ？
フレンダ,あーヒドーイ！置いてったらデートにならないじゃん。待ってよ
