子供たちは口をそろえて言う。,将来は、あの組に入るんだ
雷,しかし、動きが早いわね……。もう入口の所に睦月組が居たわ……
響,どう逃げようか……
雷,強行突破……とか？
暁,ダメよっ。なるべく争いは避けないと……
電,で、でも……これじゃ私たち……
響,――近いっ！
卯月,……やっぱり。暁組……見つけたぴょん！
暁,逃げるわよ！
卯月,ふふー。逃がさないぴょん！
電,はわわっ！撒けないのですっ！
雷,マズいわね……！
菊月,見つけたぞ……！私が捕まえるっ！！
暁,ま、前からもっ！？
響,……やるか、組長？
暁,ダメって言ったでしょっ！――仕方がないわ、みんな四手に分かれるわよっ！
電,えっ！で、でも……！
暁,でも、絶対こっちから手を出しちゃダメだからねっ？わかったっ！？
雷,話し合ってる暇はなさそうね……。わかったわ。それじゃ私はあっちにっ！
電,い、電はあっちにいくのですっ！
響,なら、私はあっちに
暁,みんな、後でまた会いましょう……！行くわよっ！
卯月,――んんっ！バラバラになっちゃったぴょん！
菊月,小賢しい真似を……！若頭補佐っ！私はあっちをっ！
卯月,わかったぴょん！卯月は誰にしようかな……。……あれならすぐ捕まえられそうぴょん！
菊月,待てっ！！
雷,くっ……、私の方追ってきたわね……！
電,はわ、はわわわわ……。あ、慌てすぎて観覧車に逃げ込んでしまったのです……！お、降りたらつかまっちゃうのです……
卯月,ふっふーん、後は待ってるだけぴょん！
暁,――こ、ここなら暗いし、安心かしら……。……ちょ、ちょっと慌てて飛び込んじゃったけど……。ここ、どこ……？。少し寒いし……、なんか……まるで……お化けが――。…………えっ？。――――――っ！！！
文月,――……脅かしたら倒れちゃったのぉ？まぁとりあえず、運ぼっか～
電,――組長！起きるのです、組長！
暁,……んぅ、なによ電……
電,わ、私たち捕まっちゃったのです！
暁,……ハッ！わ、私……お化けが――っ！
如月,――あなたが暁組組長の暁ね？
暁,こ、ここは……！。くっ、縛られてる……
如月,ここは、私たちの本部だわ
睦月,――あなたが暁ねっ！
暁,ぐっ……
電,――っ！く、組長を放すのですっ！
如月,組長！少し落ち着いて！
睦月,さぁ、捕まえたんだからっ！早く爆弾の在りかを言うにゃしぃ！
電,ば、爆弾っ？？ま、待ってなのです！私たち、爆弾なんてしらないのですっ！
睦月,そんな嘘が……！
暁,ほ、本当よっ！爆弾なんて私たちは知らないわっ！た、ただスパイをしてただけよっ！
皐月,いや、スパイって……
如月,とにかくっ！組長落ち着いて……！
睦月,で、でも……！
長月,組長！暁組の雷を捕らえました！
菊月,捕らえたのは私だ
長月,あぁわかった！どっちでもいい
雷,ふ、二人とも！無事だったのね
電,い、雷ちゃん！
長月,でも組長……。本当かわかりませんが、爆弾のことは知らないようで……
菊月,嘘に決まってる
雷,ほ、本当に知らないったらっ！
睦月,――そ、それじゃあこれはっ！？この手紙と爆弾の見覚えはっ？
暁,知らないわ！あ、暁たちは……。スパイ……というか、その……本当は遊びに来ただけで……
睦月,そ、そんな……
如月,組長……
電,あ、あの、私たちは怒られると思って逃げちゃっただけなのです……。逃げないから縄を解いてほしいのです
睦月,……わかったにゃしぃ
皐月,えっ……。組長、いいの？
睦月,うん……。解いてあげて……
暁,――ふぅ。……それで、爆弾ってどういうことなの？
睦月,今日、本部の前にこの手紙と火薬の無い爆弾が置いてあったにゃしぃ……
電,えぇっと……。今日、遊園地に火薬のついた爆弾を五つ設置する。止めたければ止めてみるがいい。しかし、乗客を逃がそうとしたりする動きを見せたのなら、即座に爆破する。覚悟しておくことだ……って書いてあるのです
如月,ごめんなさいね。それ、名前が書いてないでしょう？だから三日月から報告を聞いて、この手紙の差出人はあなた達だと勘違いしてしまったのよ
暁,な、なるほど……
皐月,いま捜索にでてる組員に、爆弾を探すように伝えるよ
睦月,うん、お願い……
雷,なんか、ごめんなさい。私たちのせいで複雑になってしまったのね
如月,まぁ、こうなったことはしょうがないわ。また一からね……
睦月,……暁組のみなさんは、早くこの遊園地から逃げてほしいにゃしぃ
暁,ま、待ってよ。こんなの……ほっとけないわ
睦月,うっ……うぅ……
如月,組長……
睦月,グスッ……、睦月は……組長失格にゃしぃ……！遊園地に来た人たちを守りたいのに……、睦月には……なにも……
弥生,組長のせいじゃないよ……これは……
睦月,――だ、だから、暁組の皆さんだけでも――
暁,――――ッ！
如月,あ、あなたっ！組長になにを……っ！
暁,――しっかりしなさいよっ！！組長なんでしょうっ！？
睦月,あ、暁ちゃん……
暁,他の組員を見てみなさいよっ！諦めてる人が一人でもいるのっ！？組長が最初に諦めてどうするのよっ！！
睦月,で、でも……
暁,でももだってもないわっ！……いい？アナタは、最後まで堂々としてないといけないの。……じゃないと、組員は誰に付いていけばいいのかわからないわ……そうでしょう？
睦月,………………うん
暁,――じゃあ立ちなさいっ！しっかりと、どんな結果も受け止める。その覚悟をもちなさいっ！
睦月,グスッ……。わかったにゃしぃ、睦月……泣かない！
暁,そうじゃなくっちゃ！。――さぁ雷、電っ！私たちも爆弾を探しに行くわよっ！
雷,わかったわっ！私に任せてっ
電,電がみつけてみせるのですっ！
如月,ふふっ、私たちも負けてられないわね
弥生,必ず……見つける……
睦月,み、みんな……！
響,――お邪魔するよ
暁,ひ、響っ！なんでここが……
響,様子を窺ってたんだけど、どうやら風向きが変わったみたいだったからね
電,これからみんなで、この遊園地に設置された爆弾を探しに行くところなのですっ！
雷,えぇっ！響も……って、響……それ、なに持ってるの？
響,ん、あぁこれかい？これは――。逃げてる途中で爆弾を五つも見つけてね。ついでだから全部解除しておいたんだ
