本田未央,しまむー！！なんで……なんでこんな事に……！
モバＰ,ふてくされて適当なことほざくんじゃねぇッスよ！！もう少し発言に気を使ってください！！
先輩Ｐ,うるせぇな。ルキトレちゃんと付き合ってないんなら、別にいいだろ？それとも何か？ホントにゲイなんか？
モバＰ,んな訳ないでしょ！現役アイドルとの交際を推奨すんなって言ってんの！！
留美,それじゃ、私か美優のどちらかなら問題無いわね
美優,そうですね……契約上も……引退後の制約は無いですし……
モバＰ,っ……反論出来ない……！
アイドル達,え！？
ちひろ,二人は引退してマネージャーになるんですよ
美嘉,なに……その急展開……
加蓮,そんなのズルい！だったら私だって……
先輩Ｐ,加蓮
加蓮,ぁぅ……でも……
先輩Ｐ,あー……だったらアレだ。将来の約束だ。モバＰが選んだ奴が適切に引退したとき、そいつがまだモバＰの事好きだったら結婚。留美さんか美優さんなら、今すぐ結婚。はい、けってーい
モバＰ,てめぇ！勝手なこと言うなやぁ！！
先輩Ｐ,うるせぇ！お前ばっかり腹立つんじゃボケェ！！私だって、チャオ☆って言われたいんじゃクソボケェ！！！あ゛あ゛あ゛！！！もう帰って酒飲んで寝るっ！！！お疲れっした！！
モバＰ,ひでぇ！色んな意味でひどいぞ、あの人！！
未央,そうだねぇ……で？どうするの？プロデューサー
アイドル達,……
モバＰ,うぐっ……
莉嘉,Ｐくん！約束したよね！アイドルを卒業した時は彼女にしてくれるって！！
モバＰ,あ、あぁ……そんな事もあったな……。うん、そうか……このまま莉嘉でうやむやに……
美嘉,莉嘉……残念だけど、子供がした約束は法的に認められないの
莉嘉,法！？お姉ちゃん、法を出してくるの！？それはなくない！？
美嘉,……だって、莉嘉だけアドバンテージがあるなんてズルいもん……
莉嘉,ズルくないよっ！ねっ、Ｐくん！？
モバＰ,おぉ。そうだなぁ
美嘉,プロデューサー……
モバＰ,ぁぁ……どうかな？
莉嘉,もう、Ｐくんっ！！
未央,姉の威厳を犠牲にしおった……そして、プロデューサー弱すぎ！
モバＰ,つい……
未央,……それでホントどうするの？なんかあっちでバトルが始まってるよ？
モバＰ,うん……。……ねぇ。どうしよっか……
未央,未央ちゃんを選ぶといいよ。後は上手くやるからさ！
モバＰ,確かに、未央なら上手くやってくれそうだなぁ……
未央,え？マジで？じゃあ！！
ちひろ,駄目ですよ？この状態は先輩Ｐさんが暴走した結果なんですから。本気にしちゃいけません。アイドルが婚約なんて冗談でも駄目です
未央,ちぇー。ちひろさんは冷静だったかぁ……。でも、これどうやって治めるの？
モバＰ,……もう一度、ちひろさんと付き合ってる体は……駄目？
ちひろ,……いいですよ？ただし、ちゃんと彼女のように扱ってくれるならですけど
モバＰ,任せといて下さい。俺の演技力無駄に上がってるので、ナチュラルな彼氏彼女を演出しますよ
未央,いやいや、いくら上手く演技したところで、それはもう通じないって
モバＰ,だよね……
ちひろ,未央ちゃん、今は認識させることが重要なんです。あの子達と……プロデューサーさんに
未央,……え？ちひろさん？
ちひろ,ふふ……。じゃあプロデューサーさん、復縁発表しましょうか
モバＰ,え？ホントにやるんですか？いいですけど……グダグダになりそうだなぁ……
ちひろ,大丈夫です。……みなさーん！プロデューサーさんが言いたい事があるそうですよー
モバＰ,あ、俺が言うんだ……
アイドル達,……
モバＰ,うわ……めっちゃ見てる……
ちひろ,誰かが選ばれると思ってるんでしょう。ほら、プロデューサーさん
モバＰ,はいはい……。えっと、みんなが俺を慕ってくれてるのは嬉しいんだけど、実はもう彼女がいるんだ
美嘉,またそれ？もういいよ、そういうの
モバＰ,うぐっ……
ちひろ,美嘉ちゃん。それが本当なの……ごめんね、今まで黙ってて……
凛,しかも、またちひろさんと付き合ってる体なんだ
ちひろ,信じてくれませんか……。仕方ないですね。プロデューサーさん、ここでもう一度告白してくれませんか？目の前で交際が始まったら納得してくれると思うんです
アイドル達,え！？
モバＰ,……わかりました。ちひろさん、付き合ってるフリをしてる間に本気で好きになってしまいました。これからは本物の彼女になってください！
ちひろ,はい、喜んで
モバＰ,……カチ？
ちひろ,言質をとったとこで……みなさん、そういう訳ですから、私のプロデューサーさんに色目を使わないでくださいね？
アイドル達,
未央,……
モバＰ,ちひろ……さん？
ちひろ,何か？これで、あの子達もアイドル活動に集中出来ますね？
モバＰ,そう……ですけど……言質？
ちひろ,ふふ
アイドル達,み……認めない！！
モバＰ,なっ！？突撃してくんの！？み、未央、宥めて！あの子達を宥めてっ！！
未央,……認識させるって……まさか
ちひろ,ふふふ……負けませんよ？
未央,急にラスボスが現われたよぉ……も～……
モバＰ,む、無視すんなぁ……おわぁ！
アイドル達,絶対に認めない～！！
モバＰ,未央っ！！マジで助けてっ！お願いだからっ！！
未央,……女体に揉まれて幸せそうだから、知らなーい！
モバＰ,……ちょっと否定できねぇ！！
