それでは、第五章,深夜・前
仮面の男,ふははははっ！！さらばだ、諸君―――！！
黒コート,……！。あいつ……！オイコラ待てっ！！
小型メカ,あれは……。指名手配犯の、仮面の男ですね。艦橋から雲海にフリーフォールしていきましたよ。もう助からないのでは？
黒コート,いや……。奴は、落ちる戦艦や、崩れる空中庭園からも生還したという。仮面の男も、白の大天使も一筋縄ではいかないが。またいずれまみえる機会もあるだろうよ
小型メカ,……？妙に、すがすがしい顔ですね。時空指名手配犯を相手にした任務の失敗は、いつものコトとはいえ。何か。イイコトでも、ありましたか？
黒コート,ああ……。そうだな。年の瀬とは、皆で乗り越えるから年の瀬、だと思ってな。そして、年の瀬を乗り越えた正月は。頑張った分、ゆっくりと休まねばなるまい。私も年末労働の分の休暇を貰って。お正月くらいは実家に帰るとするよ
小型メカ,いいですね。私も実家に帰りたいモノです。私たちは、まだ次の仕事があるのですが
ヒーロー,さあ、オペ子ちゃん！ウカウカしていられないぞ、さっそく次の仕事だ！。次はハンバーガー業界でマ○クとケ○タ＆モ○バ連合が激突するらしい！。ジャンクフード存亡の危機だ！この大戦も何としても止めなくてはなるまい！。それでは行くぞ！ドライ・ブラー号の皆さん！アディオス、アミ―――ゴ！！！
小型メカ,ああ。行っちゃいました
黒コート,き○こたけ○こ大戦とかいうのを止めたばっかりだというのに、お前たちも大変だな。私はどっちかというと、ロ○テリア派だが……
小型メカ,これ以上ハナシをややこしくしないでください。私たちは１０００円バーガーでゴリ押します。では、私も彼の後を追って、行ってきますね
黒コート,ああ。頑張ると良い。また整備課の事務室で会おう
小型メカ,あれ、そういえば……。革ジャンさんは、どうしたんですか？
黒コート,ん？アイツか……。アイツは、最後の任務を果たしに行ったよ
小型メカ,最後の任務？
黒コート,ああ。誰の命令でもない、アイツだけの任務をな
魔王,これで一件落着、か……
冥王,ええ。お疲れさんでした。魔王はん。おや。エンマ帳……の、複製品が
魔王,エンマ帳に書かれた、文字が……。空中に浮いて、消えていったな
冥王,エンマ帳に書かれていた内容が無効になった、いうことやろなあ
魔王,まったく。世話が焼けるぜ。天界の動きを止めに来ただけなのに、まさかき○こたけ○こ戦争に巻き込まれるとはなあ……
冥王,しかしその結果、古からの因縁を、再び断ち切ることができた。終わり良ければ総て良し。ちゃいますか？
魔王,ああ……。そうだな。おい、冥王。お前は、これからどうする？
冥王,ん？そうですなあ……。ひとまずは、冥界に戻って今回の件の後始末、やろなあ。エンマ帳の内容を信じて動いてる死神たちも困ってるやろうし。無駄に部下を派遣させられた、死神の魔王のクレームもあしらわなあかん。ああ、そうそう。魔王はん、あんたの人間殺したいう不祥事の揉み消しもな
魔王,おおう……。ホントそれ、頼むぜ。こんだけ部下に魔界の法をうるさく言って、なのに魔王が率先して破ってたんじゃあ。俺一人の処分ならいいが、また魔界戦争に突入しかねん
冥王,ははは。魔王はんもむつかしい立場ですなあ
魔王,ホント。魔王って大変だぜ？。さて、俺も……。早々に魔界に戻って、青鬼族の減刑をかけあうとしよう。たしかに今回、青鬼族が独断で人間界に侵攻したのは、まぎれもない事実だが……。俺も色々頑張ったし。実質的な被害は別に出てないし。列車が大破？知らんなあ。き○こたけ○こ大戦にかこつけて神々の責任にすれば、他の魔王も黙るだろう。幸い、あいつの直接の上司の、緋雷王はハナシのわかる奴だからな
冥王,緋雷王はんは、純粋で活動的なお人ですからなあ。あれ……。そういえば、大天使はんは、どないしはりました？
魔王,ん？さっきまでそこにいたんだが、消えたな。さては、今回の責任の追及から、逃げたな……
冥王,でもハナシによると今回、大天使はんは、なんもやってへんのやろ？
魔王,ううん。そこなんだよな。天界の者、しかも白の大天使が、あのドライ・ブラー号に乗り込んだんだから。きっと何かをやらかすと思ったんだが……。アイツの言うところによると、ただの観光兼、人間たちへの助力とは
冥王,神々や天使の考えることは、わてらには想像も尽きまへんからな。かんたんにわかるんやったら、魔界、冥界、天界なんかに分かれてへんて
魔王,そうだなあ……。だが俺には、何か裏があるような気がしてな……。勘繰りすぎか？
白ドレス,―――うん、うん！今日もハッピー、いい天気！。今年も世界は何事もなく、いつもと変わらず、平和だあ！。天界で、ドライ・ブラー号が、乗っ取られ、爆発、大炎上する未来がおぼろげに見えた時は。楽しそうだなあ、それと、このままじゃマズいなあ、と思ったけど。これで契約を完遂する！時空環境整備課の、コネコちゃん！。君は満足かい？ああ満足だろうね、大天使が意のままに動いたのだもの！。ただの人間の身で、大天使と契約を結ぶ。これ以上の傲慢は世界になかなか無い！。ああ、でも……。今日は本当に楽しかった！。人間や魔族の世界は、本当に、本当に、驚きに満ちている！。だから私も、チャチャを入れつつ、その未来を守りたいなと思うのです！。さて……。それじゃあ、私も帰るとしようかな。今日はきっと、天界の神々と天使たちの新年会だ。私も白い愛人２０箱を手土産に、乗り込むとしますか！。おひあッ！！！。え？何、何、何。銃声……？。って、ぎゃああああああ！！！残ったほうの翼にも穴が開いてるー！！！
革ジャン,よお。ようやく、二人きりになれたな……。白の大天使！！！
白ドレス,げぇっ！君、コネコちゃんのところの、狂犬！！。どどどどうして君がココにいるのかな……。君、整備課の君。契約違反だよ？。君たちを妨害せず列車を助けるコトで、私を捕まえるコトもしないって約束だったよね？
革ジャン,あ？なんだそりゃ？。契約だなんだか知らねえが、俺はそんなハナシ、聞いちゃいねえ
白ドレス,しまった……！あの契約が有効なのは、私とコネコちゃんとの間だけか……！。謀ったね、時空環境整備課。これだから人間は信用ならないんだ！
革ジャン,……始めに言っとくが、俺は時空整備課だから、ココにいるんじゃねえぜ
白ドレス,え？私、特級指名手配犯だけど、関係ないの？
革ジャン,お前、特級指名手配犯なのか？まあ、それも関係ねえ。俺がココにいるのは。―――お前が、気に入らないからだ
白ドレス,は？
革ジャン,チョコマカ、チョコマカ、事態の裏でコソコソしやがって。気に入らねえんだよ。黒幕気取りの、乳デカ姉ちゃん
白ドレス,げぇっ！何それ、何その理由！？い、意味が通ってな――――
革ジャン,だから死ねぇっ！！！
白ドレス,ぎゃあ―――！！反対、暴力反対！。そんなワケのわからない理由で死ねないよー！！
革ジャン,皆そう言って死んでいったよ！！
白ドレス,こいつイカれてる！こんなとっつぁんはイヤだぁ―――！！！
教授,あー、テステス……。本日は晴天なり。今日も変わらず、晴天なり。業務連絡、業務連絡。ううんっ。オッケー
執事,お嬢様……。ジュンビはよろしいですか？
教授,問題ない。いつでもいける！。―――それでは皆さん、お待たせしました。これより、狂気のチョコレートサイエンティスト、皆さんの呼ぶところの教授による……。世紀の大発明！き○こたけ○こ戦争を終わらせる、“最強の兵器”！。その発表会を始めたいと思います！！
記者A,おおおおおおっ！！！
記者B,それで……、教授。その、“最強の兵器”とは、いったい？
教授,ふふ……。まあ、焦りなさんなって。“最強の兵器”は、一斗缶の中にあります
記者A,一斗缶の中に……？そう、大きくはないな……
記者B,き○こ派もたけ○こ派も吹き飛ばす爆弾とかじゃないんですか？
教授,お菓子の戦争にそんなモノ持ち込んでどうする気なのかな。流れる血は、鼻からだけで十分です
記者C,しかし、一斗缶か……。これではまるで、お菓子の箱だな
教授,……ふふふ。では、お見せしましょう！この教授の、世紀の大発明！。遠からん者は音に聞け！近くば寄って目にも見よ！。細工は流々、あとは仕上げを御覧じろ！あと、なんだっけ……。まあいいや！オ―――プン！！！
記者A,おお、おお―――！？
記者B,こ、これは―――！
記者C,まさしく、まさしく―――！！
教授,ふふふ……
記者A,おお、おお――……？
記者B,こ、これは―――？
記者C,まさしく、まさしく―――。……なんですか、コレ
教授,ふふふ……。やはり凡人には、この天才科学者たる私の発想は理解できないか……
執事,お嬢様、続けてください
教授,おほん。これなるは、き○こたけ○こ戦争を終わらせる、“最強の兵器”！。爆弾？魔力塊？そんなモンじゃない！お菓子の問題なんだから、お菓子で解決！。き○この山withたけ○この里詰め合わせパックです！！！
記者A,は……？
教授,今日から、き○この山と、たけ○この里の単独販売は停止します！。代わりに、この詰め合わせパックを販売！。片方食いたきゃ、両方買え！これでバッチリ問題は解決！
記者B,あの、それって、抱き合わせ商法じゃ……
教授,うっさい！これはセット販売！。アンタらね、いいオトナがいつまでもお菓子で争ってちゃダメだよ。き○こも、たけ○こも、どっちもオイシイ！一緒に食べれば、皆ハッピー！。どれもおいしいお菓子なんだから、皆で一緒に食べればよろしい！！
キノコ頭,そんなコトで……
教授,え？
キノコ頭,そんなコトで許されると思っているのかああああああ！！！
テロリストA～D,どけどけどけどけぇ！！！！
執事,彼らは……、ドライ・ブラー号のき○こ派！
教授,生きていたの！？
キノコ頭,やいやいやいやいやい教授ゥ！！。なんだその日和った商品は！
教授,やかましいわ何が日和った商品だ！！うつけは去れ！！
キノコ頭,まったく。き○こたけ○こ戦争を終わらせる“最強の兵器”を開発したと。その発表会くらいは見届けてやろうと、こうして来てみれば……。き○ことたけ○この抱き合わせ商法などで問題が解決したとでも思っているのか！？
教授,だから抱き合わせ商法じゃなくてセット販売っつってるでしょうが！！
キノコ頭,問答無用！俺たちはここにき○こたけ○こ戦争を再開する！。この会場は俺たちがハイジャックした！！！
記者A,うわあああ！テロリストだ！！
記者B,逃げろおおおおおお！！
執事,お嬢様、お下がりを
教授,ええ。私の発明にケチつけるコイツらまとめて、ぶっ飛ばしちゃいなさい！
執事,お嬢様、それは無理です
剣使い,やれやれ。お菓子の発表会でまで、揉め事とは……
弓使い,世も末だねー。食の都、オーサカじゃなかったの？
教授,フ、フリーターの皆！？
銃使い,…………
桜色の女,オーサカ観光の前の、食前運動。腹ごなしにはちょうどいいでござる
キノコ頭,貴様らか……！一度ならず、二度までも！。まあいい！ココでもろとも滅ぼしてくれるわぁぁっ！！
テロリストA～D,カクゴするんだなァ！！！
キノコ頭,ッ！なんだ！？
タケノコ頭,―――その発明品。我らも異議を唱えたい
教授,え、誰！？
キノコ頭,お前は……。たけ○こ派のリーダー！！
タケノコ頭,―――かような商品。許されると思っているのか？
教授,何、そこのタケノコ頭まで、私の発明品にケチつける気！？。このわからず屋のボンクラどもめっ！！
タケノコ頭,いや、詰め合わせパックという発想。そこまではいい。だが。何故だ……。なぜ名前が、き○この山が先で、たけ○この里が後なのだァァッ！！！
教授,そこ！！？
タケノコ頭,しかも、パッケージでの扱いもこころなしか、たけ○この里のほうが小さい……
教授,それは気のせいでしょう！
タケノコ頭,ゆえに、我らは求めよう。商品名の、たけ○この里withき○この山詰め合わせパックへの改訂。そして、パッケージではたけ○この里を強調するコトを！！
教授,勝手なコトを言うなーっ！！
キノコ頭,ほう……。いい度胸だ。ならば、教授を締め上げる前に。たけ○こ派。まずはお前たちを滅ぼすとしよう！
タケノコ頭,望むところだ。かかってこい、き○こ派の愚者ども！！
教授,ああ、もうメチャクチャだ……
弓使い,やっぱ、き○こたけ○こ戦争、どうしようもないね……
桜色の女,さて。しかしこの事態、どうケリをつけたモノでござるか。……ん？
族長,―――くだらぬ
銃使い,……！
剣使い,その声は！？
族長,くだらぬ。……実にくだらぬ。やはり、き○こ派とたけ○こ派の争いなど、笑止千万……。チョコ菓子ならアル〇ォートが至高に決まっておろうがァァァッ！！！
教授,出たああああああ！！！
執事,アル○ォート派の魔族……！
魔族A～D,俺たちもいるぜぇ！！！！
キノコ頭,また貴様らか……！
タケノコ頭,き○こたけ○こ戦争にアル○ォート派が介入するな！！
族長,来るか？ならば、かかってくるがいい。あのような発明品で、き○こたけ○こ戦争を収めるのは不可能……。ならば、我らアル○ォート派が。ことごとくを焼き尽くしてくれよう
教授,どいつもこいつも私の発明品をディスりやがって！！
執事,お嬢様……。この状況、どうしますか？
教授,どうするも、こうするも……。私の発明品の素晴らしさを理解しないバカどもに用は無い。帰る！！
剣使い,ははは……。教授の嬢ちゃんも、苦労するな
弓使い,それじゃあ私たちも、オーサカ到着一発目、ひと暴れといきますか！
銃使い,…………
桜色の女,こやつらでは腹の足しにもならんが。まあ、それもいい
執事,お嬢様、帰ったら何しますか？
教授,何って、今は正月なんだから。そりゃ、コタツでグータラ……
数学教師,―――待てやゴラああああああッ！！！
教授,でぇッ！！タコ頭のマッチョ！どうしてココに！？
執事,え？まさか、あのヒトが、お嬢様の数学の担任の……！？
数学教師,そうやァァ！！何アホな発表しとんねん、モヤシ女ぁぁ！！。コタツでグータラもええがなぁ、ホンマに冬休みの宿題終わっとんのかァァァ！！？
教授,ギクゥ！！！
執事,あ。そういえば、列車では戦いに巻き込まれて、全然終わってませんね
教授,ま、まだお正月だから。まだ冬休みの期間残ってるから！
数学教師,夏休みもそう言うて、まともに終わらんかったやろうがワレェェェ！！！
族長,なんだ？巨人族か！？
タケノコ頭,あのタコ頭……。我らと同じなら、もしや、タコせん派の刺客では！？
キノコ頭,何！綿菓子やリンゴ飴、チョコバナナと祭屋台のシェアを奪い合っているという、あの！？
桜色の女,ほう……。あの筋肉。斬り応えがある
数学教師,うおおおおおおおおおおおおおおおおおおッ！！！！！！
教授,ぐ……。こうなりゃ逃げる。逃げの一手！。―――行くよ、バカ執事！！
執事,ええ。―――お嬢様！！
副運転士,あっ、士長！おはようございます！
運転士長,ああ、おはよう。年始の一件以来だな
副運転士,いやあ、あの運行は大変でしたね……。一年分働きました
運転士長,ははは。そうだな。だが、また気持ちを切り替えていかなければなるまい
副運転士,そうですね。だって、なんてったって、今日は――――。栄えあるドライ・ブラー号の、今年初めての通常運行の日なんですから！
運転士長,特別運行も、通常運行も、私たちが運行にかける思いは変わりない。どちらにせよ、お客様に満足いただける列車の旅を提供せねばな
副運転士,それにしても……。驚きました。あれだけ大破して、変形までした、ドライ・ブラー号が……。まさかわずか半月ほどで元通りになっているとは
運転士長,ああ。ウェイターとウェイトレスの二人を中心に、業者が頑張ってくれた。さすが、ただの掃除屋の二人だな
副運転士,ええ……。本当にスゴい……。…………
運転士長,どうした？
副運転士,運命は絶対ではない……。それを為せるのは、その時間に生きる、意志ある者たちだけ……
運転士長,あの白ドレスの女、いや、白の大天使が言っていたコトバか
副運転士,はい。あの戦いでは色々ありましたが、結局私たちは今、普段通りです。私たちは運命を変えるコトが出来たのでしょうか？そして、私は、本当に……
運転士長,そうだな……。ええと。たしか資料がココに……。あった。年末年始運行の乗客は、全員オーサカに無事送り届けた。また、運行後アンケートもその時に取ったが……。アクシデントの演出も含め、おおむね高評価だったぞ
副運転士,マ、マジですか！？てっきりクレームの嵐かと……
運転士長,ああ。私たちは、無事に年末年始の運行を成功させて、新たな一年を迎えた……。そして乗客の方々に満足していただいた。これは、運命を変えたというコトではないかな？
副運転士,……そうですね。そうかも、しれませんね……！
運転士長,さて。残るは、君だ
副運転士,え。私ですか……？
運転士長,そうだ。私たちは、このドライ・ブラー号の記念となる、年末年始運行を終点まで導いた。アクシデントはあったが、運行に問題は無い。運行は成功と言っていいだろう。だが……。乗務員である、君は。今回の運行、楽しかったか？
副運転士,……！。……ええ。それはモチロン。この運転室に現れた白ドレスのお姉さんから、色々あって。色んなヒトたちと出会って、戦って。すっごく、すっごく。楽しかったです！！
運転士長,なら、良かった。このドライ・ブラー号は、ヒトを運んでいる。様々な思いを持った、ヒト……。それには乗客はモチロン、私たちも含まれる。そのヒトの思いが交差して生まれる運行を。楽しいと思ってもらえたのなら、何よりだ
副運転士,はい！こんなニギヤカで楽しい列車は、他になかなか無いでしょう！
運転士長,ははは。それでは、今は格納したが、この列車の“翼”。それを再び羽ばたかせるとしよう。車掌たち、他の乗務員も、全員が既に配置についている。あとは君の掛け声一つだ
副運転士,そうですね！では、いつものアナウンスを！。ふぅ……。…………。すぅ……
以上を持ちまして、最終章,薄明
